playerId,area,competition_name,season_name,player_shortName,player_firstName,player_lastName,isRomanian,player_birthDate,isU21,team_name,player_currentTeamId,generic_position_code,player_height,player_weight,player_foot,competitionId,seasonId,positions_percent,positions_position_name,positions_position_code,total_matches,total_matchesInStart,total_matchesSubstituted,total_matchesComingOff,total_minutesOnField,total_minutesTagged,total_goals,total_assists,total_shots,total_headShots,total_yellowCards,total_redCards,total_directRedCards,total_penalties,total_linkupPlays,total_duels,total_duelsWon,total_defensiveDuels,total_defensiveDuelsWon,total_offensiveDuels,total_offensiveDuelsWon,total_aerialDuels,total_aerialDuelsWon,total_fouls,total_passes,total_successfulPasses,total_smartPasses,total_successfulSmartPasses,total_passesToFinalThird,total_successfulPassesToFinalThird,total_crosses,total_successfulCrosses,total_forwardPasses,total_successfulForwardPasses,total_backPasses,total_successfulBackPasses,total_throughPasses,total_successfulThroughPasses,total_keyPasses,total_successfulKeyPasses,total_verticalPasses,total_successfulVerticalPasses,total_longPasses,total_successfulLongPasses,total_dribbles,total_successfulDribbles,total_interceptions,total_defensiveActions,total_successfulDefensiveAction,total_attackingActions,total_successfulAttackingActions,total_freeKicks,total_freeKicksOnTarget,total_directFreeKicks,total_directFreeKicksOnTarget,total_corners,total_successfulPenalties,total_successfulLinkupPlays,total_accelerations,total_pressingDuels,total_pressingDuelsWon,total_looseBallDuels,total_looseBallDuelsWon,total_missedBalls,total_shotAssists,total_shotOnTargetAssists,total_recoveries,total_opponentHalfRecoveries,total_dangerousOpponentHalfRecoveries,total_losses,total_ownHalfLosses,total_dangerousOwnHalfLosses,total_xgShot,total_xgAssist,total_xgSave,total_receivedPass,total_touchInBox,total_progressiveRun,total_offsides,total_clearances,total_secondAssists,total_thirdAssists,total_shotsBlocked,total_foulsSuffered,total_progressivePasses,total_counterpressingRecoveries,total_slidingTackles,total_goalKicks,total_dribblesAgainst,total_dribblesAgainstWon,total_goalKicksShort,total_goalKicksLong,total_shotsOnTarget,total_successfulProgressivePasses,total_successfulSlidingTackles,total_successfulGoalKicks,total_fieldAerialDuels,total_fieldAerialDuelsWon,total_gkCleanSheets,total_gkConcededGoals,total_gkShotsAgainst,total_gkExits,total_gkSuccessfulExits,total_gkAerialDuels,total_gkAerialDuelsWon,total_gkSaves,total_newDuelsWon,total_newDefensiveDuelsWon,total_newOffensiveDuelsWon,total_newSuccessfulDribbles,total_lateralPasses,total_successfulLateralPasses,average_passLength,average_longPassLength,average_dribbleDistanceFromOpponentGoal,average_ballRecoveries,average_duels,average_defensiveDuels,average_offensiveDuels,average_aerialDuels,average_fouls,average_goals,average_assists,average_passes,average_smartPasses,average_passesToFinalThird,average_crosses,average_dribbles,average_shots,average_headShots,average_interceptions,average_successfulDefensiveAction,average_yellowCards,average_redCards,average_directRedCards,average_successfulAttackingActions,average_freeKicks,average_directFreeKicks,average_corners,average_penalties,average_accelerations,average_looseBallDuels,average_missedBalls,average_forwardPasses,average_backPasses,average_throughPasses,average_keyPasses,average_verticalPasses,average_longPasses,average_shotAssists,average_shotOnTargetAssists,average_linkupPlays,average_opponentHalfRecoveries,average_dangerousOpponentHalfRecoveries,average_ballLosses,average_losses,average_ownHalfLosses,average_dangerousOwnHalfLosses,average_duelsWon,average_defensiveDuelsWon,average_offensiveDuelsWon,average_successfulPasses,average_successfulSmartPasses,average_successfulCrosses,average_successfulForwardPasses,average_successfulBackPasses,average_successfulThroughPasses,average_successfulKeyPasses,average_successfulVerticalPasses,average_successfulLongPasses,average_successfulDribbles,average_defensiveActions,average_attackingActions,average_freeKicksOnTarget,average_directFreeKicksOnTarget,average_successfulPenalties,average_successfulLinkupPlays,average_looseBallDuelsWon,average_successfulPassesToFinalThird,average_xgShot,average_xgAssist,average_xgSave,average_receivedPass,average_touchInBox,average_progressiveRun,average_offsides,average_clearances,average_secondAssists,average_thirdAssists,average_foulsSuffered,average_progressivePasses,average_counterpressingRecoveries,average_slidingTackles,average_goalKicks,average_shotsBlocked,average_shotsOnTarget,average_successfulProgressivePasses,average_successfulSlidingTackles,average_successfulGoalKicks,average_dribblesAgainst,average_dribblesAgainstWon,average_goalKicksShort,average_goalKicksLong,average_fieldAerialDuels,average_fieldAerialDuelsWon,average_gkConcededGoals,average_gkShotsAgainst,average_gkExits,average_gkAerialDuels,average_gkSaves,average_gkSuccessfulExits,average_gkAerialDuelsWon,average_newDuelsWon,average_newDefensiveDuelsWon,average_newOffensiveDuelsWon,average_newSuccessfulDribbles,average_lateralPasses,average_successfulLateralPasses,percent_duelsWon,percent_defensiveDuelsWon,percent_offensiveDuelsWon,percent_aerialDuelsWon,percent_successfulPasses,percent_successfulSmartPasses,percent_successfulPassesToFinalThird,percent_successfulCrosses,percent_successfulDribbles,percent_shotsOnTarget,percent_headShotsOnTarget,percent_goalConversion,percent_directFreeKicksOnTarget,percent_penaltiesConversion,percent_win,percent_successfulForwardPasses,percent_successfulBackPasses,percent_successfulThroughPasses,percent_successfulKeyPasses,percent_successfulVerticalPasses,percent_successfulLongPasses,percent_successfulShotAssists,percent_successfulLinkupPlays,percent_yellowCardsPerFoul,percent_successfulProgressivePasses,percent_successfulSlidingTackles,percent_successfulGoalKicks,percent_dribblesAgainstWon,percent_fieldAerialDuelsWon,percent_gkSaves,percent_gkSuccessfulExits,percent_gkAerialDuelsWon,percent_newDuelsWon,percent_newDefensiveDuelsWon,percent_newOffensiveDuelsWon,percent_newSuccessfulDribbles,percent_successfulLateralPasses,roundId,player_wyId,player_middleName,player_currentNationalTeamId,player_gender,player_status,player_imageDataURL,player_birthArea_id,player_birthArea_alpha2code,player_birthArea_alpha3code,player_birthArea_name,player_passportArea_id,player_passportArea_alpha2code,player_passportArea_alpha3code,player_passportArea_name,player_role_name,player_role_code2,player_role_code3,teams_wyId
1271749,Romania,Liga2,2025_2026,Z. Zsombor,Zab,Zsombor,false,None,false,CSM Satu Mare,71226,CAM,0,0,None,720,191744,52,Right Attacking Midfielder,ramf,2,0,0,2,45,45,0,0,0,0,0,0,0,0,0,9,1,3,0,3,1,2,0,0,6,4,0,0,0,0,2,1,1,0,0,0,0,0,1,1,2,2,0,0,3,1,3,6,3,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,5,3,1,0,0.07,0,3,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,29.19,0,43.3,0,18,6,6,4,0,0,0,12,0,0,4,6,0,0,6,6,0,0,0,4,0,0,0,0,0,2,0,2,0,0,2,4,0,2,2,0,0,0,0,10,6,2,2,0,2,8,0,2,0,0,0,2,4,0,2,12,10,0,0,0,0,0,0,0,0.13,0,6,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,2,4,4,11.11,0,33.33,0,66.67,0,0,50,33.33,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,0,0,0,0,0,0,0,11.11,0,33.33,33.33,100,None,1271749,"",,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,0,None,None,None,0,None,None,None,"","","",71226
1271749,Romania,Liga2,2025_2026,Z. Zsombor,Zab,Zsombor,false,None,false,CSM Satu Mare,71226,FB,0,0,None,720,191744,30,Right Wingback,rwb,2,0,0,2,45,45,0,0,0,0,0,0,0,0,0,9,1,3,0,3,1,2,0,0,6,4,0,0,0,0,2,1,1,0,0,0,0,0,1,1,2,2,0,0,3,1,3,6,3,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,5,3,1,0,0.07,0,3,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,29.19,0,43.3,0,18,6,6,4,0,0,0,12,0,0,4,6,0,0,6,6,0,0,0,4,0,0,0,0,0,2,0,2,0,0,2,4,0,2,2,0,0,0,0,10,6,2,2,0,2,8,0,2,0,0,0,2,4,0,2,12,10,0,0,0,0,0,0,0,0.13,0,6,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,2,4,4,11.11,0,33.33,0,66.67,0,0,50,33.33,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,0,0,0,0,0,0,0,11.11,0,33.33,33.33,100,None,1271749,"",,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,0,None,None,None,0,None,None,None,"","","",71226
1271749,Romania,Liga2,2025_2026,Z. Zsombor,Zab,Zsombor,false,None,false,CSM Satu Mare,71226,CAM,0,0,None,720,191744,16,Left Attacking Midfielder,lamf,2,0,0,2,45,45,0,0,0,0,0,0,0,0,0,9,1,3,0,3,1,2,0,0,6,4,0,0,0,0,2,1,1,0,0,0,0,0,1,1,2,2,0,0,3,1,3,6,3,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,5,3,1,0,0.07,0,3,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,29.19,0,43.3,0,18,6,6,4,0,0,0,12,0,0,4,6,0,0,6,6,0,0,0,4,0,0,0,0,0,2,0,2,0,0,2,4,0,2,2,0,0,0,0,10,6,2,2,0,2,8,0,2,0,0,0,2,4,0,2,12,10,0,0,0,0,0,0,0,0.13,0,6,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,2,4,4,11.11,0,33.33,0,66.67,0,0,50,33.33,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,0,0,0,0,0,0,0,11.11,0,33.33,33.33,100,None,1271749,"",,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,0,None,None,None,0,None,None,None,"","","",71226
1270462,Romania,Liga2,2025_2026,D. Toma,Denis,Toma,false,None,false,CSM Satu Mare,71226,CAM,0,0,None,720,191744,64,Right Attacking Midfielder,ramf,3,2,2,1,180,180,0,0,1,1,0,0,0,0,0,29,6,12,0,13,4,3,2,3,37,25,0,0,4,4,3,1,15,12,6,4,0,0,1,1,6,2,2,1,2,2,1,13,9,6,3,0,0,0,0,0,0,0,0,1,0,1,0,4,0,1,8,6,1,12,3,1,0.1,0,0,21,4,0,1,0,0,0,0,0,7,6,0,0,3,2,0,0,1,4,0,0,3,2,0,0,0,0,0,0,0,0,12,8,2,1,6,2,11.78,8.29,5.97,4,14.5,6,6.5,1.5,1.5,0,0,18.5,0,2,1.5,1,0.5,0.5,0.5,4.5,0,0,0,1.5,0,0,0,0,0,0.5,2,7.5,3,0,0.5,3,1,0,0.5,0,3,0.5,0,6,1.5,0.5,3,0,2,12.5,0,0.5,6,2,0,0.5,1,0.5,1,6.5,3,0,0,0,0,0,2,0.05,0,0,10.5,2,0,0.5,0,0,0,0,3.5,3,0,0,0,0.5,2,0,0,1.5,1,0,0,1.5,1,0,0,0,0,0,0,0,6,4,1,0.5,3,1,20.69,0,30.77,66.67,67.57,0,100,33.33,100,100,100,0,0,0,0,80,66.67,0,100,33.33,50,0,0,0,57.14,0,0,66.67,66.67,0,0,0,41.38,66.67,15.38,50,33.33,None,1270462,"",,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,0,None,None,None,0,None,None,None,"","","",71226
1270462,Romania,Liga2,2025_2026,D. Toma,Denis,Toma,false,None,false,CSM Satu Mare,71226,W,0,0,None,720,191744,31,Right Winger,rw,3,2,2,1,180,180,0,0,1,1,0,0,0,0,0,29,6,12,0,13,4,3,2,3,37,25,0,0,4,4,3,1,15,12,6,4,0,0,1,1,6,2,2,1,2,2,1,13,9,6,3,0,0,0,0,0,0,0,0,1,0,1,0,4,0,1,8,6,1,12,3,1,0.1,0,0,21,4,0,1,0,0,0,0,0,7,6,0,0,3,2,0,0,1,4,0,0,3,2,0,0,0,0,0,0,0,0,12,8,2,1,6,2,11.78,8.29,5.97,4,14.5,6,6.5,1.5,1.5,0,0,18.5,0,2,1.5,1,0.5,0.5,0.5,4.5,0,0,0,1.5,0,0,0,0,0,0.5,2,7.5,3,0,0.5,3,1,0,0.5,0,3,0.5,0,6,1.5,0.5,3,0,2,12.5,0,0.5,6,2,0,0.5,1,0.5,1,6.5,3,0,0,0,0,0,2,0.05,0,0,10.5,2,0,0.5,0,0,0,0,3.5,3,0,0,0,0.5,2,0,0,1.5,1,0,0,1.5,1,0,0,0,0,0,0,0,6,4,1,0.5,3,1,20.69,0,30.77,66.67,67.57,0,100,33.33,100,100,100,0,0,0,0,80,66.67,0,100,33.33,50,0,0,0,57.14,0,0,66.67,66.67,0,0,0,41.38,66.67,15.38,50,33.33,None,1270462,"",,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,0,None,None,None,0,None,None,None,"","","",71226
1253908,Romania,Liga2,2025_2026,C. Șofroni,Cătălin,Șofroni,true,2005-05-28,true,Gloria Bistriţa,71139,CAM,0,0,None,720,191744,39,Attacking Midfielder,amf,8,8,5,0,631,631,0,0,9,0,1,0,0,0,0,130,48,58,13,51,25,12,6,6,194,131,2,1,39,24,9,0,96,58,31,28,5,1,1,1,43,27,35,14,19,13,21,85,60,39,11,3,1,1,0,11,0,0,4,4,0,9,4,5,7,1,36,16,1,89,26,2,0.44,0.45,0,124,5,11,1,1,0,0,1,7,47,19,6,0,19,8,0,0,1,32,1,0,12,6,0,0,0,0,0,0,0,0,62,33,19,9,43,27,21.24,38.4,36.89,5.13,18.54,8.27,7.27,1.71,0.86,0,0,27.67,0.29,5.56,1.28,2.71,1.28,0,3,8.56,0.14,0,0,1.57,0.43,0.14,1.57,0,0.57,1.28,0.71,13.69,4.42,0.71,0.14,6.13,4.99,1,0.14,0,2.28,0.14,0.14,12.69,3.71,0.29,6.85,1.85,3.57,18.68,0.14,0,8.27,3.99,0.14,0.14,3.85,2,1.85,12.13,5.56,0.14,0,0,0,0.57,3.42,0.06,0.06,0,17.69,0.71,1.57,0.14,0.14,0,0,1,6.7,2.71,0.86,0,0.14,0.14,4.56,0.14,0,2.71,1.14,0,0,1.71,0.86,0,0,0,0,0,0,0,8.84,4.71,2.71,1.28,6.13,3.85,36.92,22.41,49.02,50,67.53,50,61.54,0,68.42,11.11,0,0,0,0,25,60.42,90.32,20,100,62.79,40,71.43,0,16.7,68.09,16.67,0,42.11,50,0,0,0,47.69,56.9,37.25,47.37,62.79,None,1253908,"",,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,642,RO,ROU,Romania,642,RO,ROU,Romania,Midfielder,MD,MID,71139
1253908,Romania,Liga2,2025_2026,C. Șofroni,Cătălin,Șofroni,true,2005-05-28,true,Gloria Bistriţa,71139,FB,0,0,None,720,191744,38,Left Back (5 at the back),lb5,8,8,5,0,631,631,0,0,9,0,1,0,0,0,0,130,48,58,13,51,25,12,6,6,194,131,2,1,39,24,9,0,96,58,31,28,5,1,1,1,43,27,35,14,19,13,21,85,60,39,11,3,1,1,0,11,0,0,4,4,0,9,4,5,7,1,36,16,1,89,26,2,0.44,0.45,0,124,5,11,1,1,0,0,1,7,47,19,6,0,19,8,0,0,1,32,1,0,12,6,0,0,0,0,0,0,0,0,62,33,19,9,43,27,21.24,38.4,36.89,5.13,18.54,8.27,7.27,1.71,0.86,0,0,27.67,0.29,5.56,1.28,2.71,1.28,0,3,8.56,0.14,0,0,1.57,0.43,0.14,1.57,0,0.57,1.28,0.71,13.69,4.42,0.71,0.14,6.13,4.99,1,0.14,0,2.28,0.14,0.14,12.69,3.71,0.29,6.85,1.85,3.57,18.68,0.14,0,8.27,3.99,0.14,0.14,3.85,2,1.85,12.13,5.56,0.14,0,0,0,0.57,3.42,0.06,0.06,0,17.69,0.71,1.57,0.14,0.14,0,0,1,6.7,2.71,0.86,0,0.14,0.14,4.56,0.14,0,2.71,1.14,0,0,1.71,0.86,0,0,0,0,0,0,0,8.84,4.71,2.71,1.28,6.13,3.85,36.92,22.41,49.02,50,67.53,50,61.54,0,68.42,11.11,0,0,0,0,25,60.42,90.32,20,100,62.79,40,71.43,0,16.7,68.09,16.67,0,42.11,50,0,0,0,47.69,56.9,37.25,47.37,62.79,None,1253908,"",,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,642,RO,ROU,Romania,642,RO,ROU,Romania,Midfielder,MD,MID,71139
1253908,Romania,Liga2,2025_2026,C. Șofroni,Cătălin,Șofroni,true,2005-05-28,true,Gloria Bistriţa,71139,FB,0,0,None,720,191744,14,Left Wingback,lwb,8,8,5,0,631,631,0,0,9,0,1,0,0,0,0,130,48,58,13,51,25,12,6,6,194,131,2,1,39,24,9,0,96,58,31,28,5,1,1,1,43,27,35,14,19,13,21,85,60,39,11,3,1,1,0,11,0,0,4,4,0,9,4,5,7,1,36,16,1,89,26,2,0.44,0.45,0,124,5,11,1,1,0,0,1,7,47,19,6,0,19,8,0,0,1,32,1,0,12,6,0,0,0,0,0,0,0,0,62,33,19,9,43,27,21.24,38.4,36.89,5.13,18.54,8.27,7.27,1.71,0.86,0,0,27.67,0.29,5.56,1.28,2.71,1.28,0,3,8.56,0.14,0,0,1.57,0.43,0.14,1.57,0,0.57,1.28,0.71,13.69,4.42,0.71,0.14,6.13,4.99,1,0.14,0,2.28,0.14,0.14,12.69,3.71,0.29,6.85,1.85,3.57,18.68,0.14,0,8.27,3.99,0.14,0.14,3.85,2,1.85,12.13,5.56,0.14,0,0,0,0.57,3.42,0.06,0.06,0,17.69,0.71,1.57,0.14,0.14,0,0,1,6.7,2.71,0.86,0,0.14,0.14,4.56,0.14,0,2.71,1.14,0,0,1.71,0.86,0,0,0,0,0,0,0,8.84,4.71,2.71,1.28,6.13,3.85,36.92,22.41,49.02,50,67.53,50,61.54,0,68.42,11.11,0,0,0,0,25,60.42,90.32,20,100,62.79,40,71.43,0,16.7,68.09,16.67,0,42.11,50,0,0,0,47.69,56.9,37.25,47.37,62.79,None,1253908,"",,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,642,RO,ROU,Romania,642,RO,ROU,Romania,Midfielder,MD,MID,71139
1253870,Romania,Liga2,2025_2026,D. Moldovan,Denis,Moldovan,false,None,false,CS Dinamo București,78701,GK,0,0,None,720,191744,100,Goalkeeper,gk,8,8,0,0,752,752,0,0,0,0,0,1,1,0,0,5,4,1,0,1,1,3,3,1,185,148,0,0,7,2,0,0,110,79,0,0,0,0,0,0,68,62,82,52,0,0,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,41,18,2,0,0,11.45,113,0,0,0,3,0,0,0,1,71,2,0,74,1,1,32,42,0,45,0,65,0,0,2,10,40,9,0,3,3,30,5,1,1,0,68,62,33.21,49.02,0,2.63,0.6,0.12,0.12,0.36,0.12,0,0,22.14,0,0.84,0,0,0,0,1.2,1.32,0,0.12,0.12,0,0,0,0,0,0,0,0,13.16,0,0,0,8.14,9.81,0,0,0,0,0,0,4.91,2.15,0.24,0.48,0,0.12,17.71,0,0,9.45,0,0,0,7.42,6.22,0,1.32,0,0,0,0,0,0,0.24,0,0,1.37,13.52,0,0,0,0.36,0,0,0.12,8.5,0.24,0,8.86,0,0,5.39,0,7.78,0.12,0.12,3.83,5.03,0,0,1.2,4.79,1.08,0.36,3.59,0,0.36,0.6,0.12,0.12,0,8.14,7.42,80,0,100,100,80,0,28.57,0,0,0,0,0,0,0,12.5,71.82,0,0,0,91.18,63.41,0,0,0,63.38,0,87.84,100,0,75,0,100,100,100,100,0,91.18,None,1253870,"",,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,0,None,None,None,0,None,None,None,Goalkeeper,GK,GKP,78701
1237914,Romania,Liga2,2025_2026,R. Stroe,Rafaelle,Stroe,true,2005-01-24,true,Ceahlăul Piatra Neamţ,11575,FB,0,0,None,720,191744,85,Left Back,lb,6,4,1,2,364,364,0,0,0,0,1,1,0,0,0,58,20,21,6,17,6,12,6,8,125,106,0,0,20,17,2,1,64,48,16,14,0,0,0,0,32,32,16,9,3,1,16,40,31,5,2,0,0,0,0,3,0,0,2,3,0,8,2,3,1,0,30,3,0,37,17,1,0,0.02,0,94,1,9,0,3,0,0,2,2,28,8,3,0,7,6,0,0,0,21,1,0,12,6,0,0,0,0,0,0,0,0,26,12,6,1,32,32,19.68,30.89,16.02,7.42,14.34,5.19,4.2,2.97,1.98,0,0,30.91,0,4.95,0.49,0.74,0,0,3.96,7.66,0.25,0.25,0,0.49,0,0,0.74,0,0.49,1.98,0.74,15.82,3.96,0,0,7.91,3.96,0.25,0,0,0.74,0,0,9.15,4.2,0.25,4.95,1.48,1.48,26.21,0,0.25,11.87,3.46,0,0,7.91,2.23,0.25,9.89,1.23,0,0,0,0,0.49,4.2,0,0.01,0,23.24,0.25,2.23,0,0.74,0,0,0.49,6.92,1.98,0.74,0,0.49,0,5.19,0.25,0,1.73,1.48,0,0,2.97,1.48,0,0,0,0,0,0,0,6.43,2.97,1.48,0.25,7.91,7.91,34.48,28.57,35.29,50,84.8,0,85,50,33.33,0,0,0,0,0,0,75,87.5,0,0,100,56.25,0,0,12.5,75,33.33,0,85.71,50,0,0,0,44.83,57.14,35.29,33.33,100,None,1237914,"",,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,642,RO,ROU,Romania,642,RO,ROU,Romania,Defender,DF,DEF,11575
