team_name,label,date,points,Home_Away,teamId,competitionId,seasonId,roundId,matchId,average_accelerations,average_aerialDuels,average_assists,average_attackingActions,average_backPasses,average_ballLosses,average_ballRecoveries,average_concededGoals,average_corners,average_crosses,average_dangerousOpponentHalfRecoveries,average_dangerousOwnHalfLosses,average_defensiveActions,average_defensiveDuels,average_defensiveDuelsWon,average_directFreeKicks,average_directFreeKicksOnTarget,average_directRedCards,average_dribbleDistanceFromOpponentGoal,average_dribbles,average_duels,average_duelsWon,average_fieldAerialDuels,average_fieldAerialDuelsWon,average_forwardPasses,average_fouls,average_freeKicks,average_freeKicksOnTarget,average_gkAerialDuels,average_gkAerialDuelsWon,average_gkExits,average_gkGoalKicks,average_gkGoalKicksSuccess,average_gkSaves,average_gkSuccessfulExits,average_goals,average_headShots,average_interceptions,average_keyPasses,average_lateralPasses,average_linkupPlays,average_longGoalKicks,average_longPassLength,average_longPasses,average_looseBallDuels,average_looseBallDuelsWon,average_missedBalls,average_newDefensiveDuelsWon,average_newDuelsWon,average_newOffensiveDuelsWon,average_newSuccessfulDribbles,average_offensiveDuels,average_offensiveDuelsWon,average_offsides,average_opponentHalfRecoveries,average_opponentOffsides,average_ownHalfLosses,average_passLength,average_passes,average_passesToFinalThird,average_penalties,average_possessionPercent,average_progressiveRun,average_receivedPass,average_redCards,average_shortGoalKicks,average_shotAssists,average_shotOnTargetAssists,average_shots,average_shotsAgainst,average_smartPasses,average_successfulAttackingActions,average_successfulBackPasses,average_successfulCrosses,average_successfulDefensiveAction,average_successfulDribbles,average_successfulForwardPasses,average_successfulKeyPasses,average_successfulLateralPasses,average_successfulLinkupPlays,average_successfulLongPasses,average_successfulPasses,average_successfulPassesToFinalThird,average_successfulPenalties,average_successfulSmartPasses,average_successfulThroughPasses,average_successfulVerticalPasses,average_throughPasses,average_touchInBox,average_verticalPasses,average_xgShot,average_xgShotAgainst,average_yellowCards,percent_aerialDuelsWon,percent_defensiveDuelsWon,percent_directFreeKicksOnTarget,percent_duelsWon,percent_fieldAerialDuelsWon,percent_gkAerialDuelsWon,percent_gkSaves,percent_gkSuccessfulExits,percent_goalConversion,percent_headShotsOnTarget,percent_newDefensiveDuelsWon,percent_newDuelsWon,percent_newOffensiveDuelsWon,percent_newSuccessfulDribbles,percent_offensiveDuelsWon,percent_penaltiesConversion,percent_shotsOnTarget,percent_successfulBackPasses,percent_successfulCrosses,percent_successfulDribbles,percent_successfulForwardPasses,percent_successfulKeyPasses,percent_successfulLateralPasses,percent_successfulLinkupPlays,percent_successfulLongPasses,percent_successfulPasses,percent_successfulPassesToFinalThird,percent_successfulShotAssists,percent_successfulSmartPasses,percent_successfulThroughPasses,percent_successfulTouchInBox,percent_successfulVerticalPasses,percent_win,percent_yellowCardsPerFoul,total_accelerations,total_aerialDuels,total_aerialDuelsWon,total_assists,total_attackingActions,total_backPasses,total_cleanSheets,total_concededGoals,total_corners,total_crosses,total_dangerousOpponentHalfRecoveries,total_dangerousOwnHalfLosses,total_defensiveActions,total_defensiveDuels,total_defensiveDuelsWon,total_directFreeKicks,total_directFreeKicksOnTarget,total_directRedCards,total_dribbles,total_duels,total_duelsWon,total_fieldAerialDuels,total_fieldAerialDuelsWon,total_forwardPasses,total_fouls,total_freeKicks,total_freeKicksOnTarget,total_gkAerialDuels,total_gkAerialDuelsWon,total_gkExits,total_gkGoalKicks,total_gkGoalKicksSuccess,total_gkSaves,total_gkSuccessfulExits,total_goals,total_headShots,total_interceptions,total_keyPasses,total_lateralPasses,total_linkupPlays,total_longGoalKicks,total_longPasses,total_looseBallDuels,total_looseBallDuelsWon,total_losses,total_matches,total_matchesTagged,total_missedBalls,total_newDefensiveDuelsWon,total_newDuelsWon,total_newOffensiveDuelsWon,total_newSuccessfulDribbles,total_offensiveDuels,total_offensiveDuelsWon,total_offsides,total_opponentHalfRecoveries,total_opponentOffsides,total_ownHalfLosses,total_passes,total_passesToFinalThird,total_penalties,total_ppda,total_pressingDuels,total_pressingDuelsWon,total_progressiveRun,total_receivedPass,total_recoveries,total_redCards,total_shortGoalKicks,total_shotAssists,total_shotOnTargetAssists,total_shots,total_shotsAgainst,total_smartPasses,total_successfulAttackingActions,total_successfulBackPasses,total_successfulCrosses,total_successfulDefensiveActions,total_successfulDribbles,total_successfulForwardPasses,total_successfulKeyPasses,total_successfulLateralPasses,total_successfulLinkupPlays,total_successfulLongPasses,total_successfulPasses,total_successfulPassesToFinalThird,total_successfulPenalties,total_successfulSmartPasses,total_successfulThroughPasses,total_successfulVerticalPasses,total_throughPasses,total_touchInBox,total_verticalPasses,total_xgShot,total_xgShotAgainst,total_yellowCards
Unirea Slobozia,"CFR Cluj - Unirea Slobozia, 2-1",2025-07-13 20:30:00,0,Away,11663,719,191642,4435361,5715686,2.52,41.21,0.84,29.44,38.69,94.21,73.18,1.68,1.68,9.25,0.84,5.05,115.2,49.63,4.21,0,0,0,20.31,11.78,176.6,59.72,36.17,15.14,97.57,13.46,3.36,2.52,2.52,1.68,4.21,9.25,5.89,0.84,0,0.84,1.68,24.39,0,68.97,2.52,9.25,24.26,35.33,37.85,15.14,1.68,26.92,74.02,13.46,3.36,47.94,21.87,0.84,17.66,1.68,27.76,17.89,241.4,34.49,0,40,4.21,152.2,0,0,3.36,0,7.57,7.57,0.84,8.41,36.17,2.52,69.81,5.89,64.77,0,60.56,0.84,17.66,187.6,19.35,0,0,0,60.56,0.84,6.73,68.97,0.45,1.24,0.84,44.9,8.47,0,33.81,41.86,66.67,0,0,11.11,50,54.24,41.9,28.07,28.57,45.61,0,33.33,93.48,27.27,50,66.38,0,87.8,33.33,50,77.7,56.1,50,0,0,75,87.8,0,6.25,3,49,22,1,35,46,0,2,2,11,1,6,137,59,5,0,0,0,14,210,71,43,18,116,16,4,3,3,2,5,11,7,1,0,1,2,29,0,82,3,11,42,45,18,112,1,1,2,32,88,16,4,57,26,1,21,2,33,287,41,0,11.34,3,0,5,181,87,0,0,4,0,9,9,1,10,43,3,83,7,77,0,72,1,21,223,23,0,0,0,72,1,8,82,0.54,1.48,1
Hermannstadt,"FCS Bucureşti - Hermannstadt, 1-1",2025-07-12 20:30:00,1,Away,55427,719,191642,4435361,5715684,0,44.55,0,25.84,43.66,118.5,83.76,0.89,0.89,6.24,4.46,8.02,163.1,72.18,19.6,0,0,0,17.72,13.37,201.4,70.4,40.1,14.26,119.4,7.13,0.89,0,3.56,3.56,11.58,3.56,2.67,4.46,0,0.89,1.78,46.34,0.89,94.46,0,3.56,27.78,49.01,22.28,8.91,4.46,56.14,105.2,21.39,8.91,62.38,23.17,0,22.28,0.89,56.14,20.51,298.5,36.53,0,35.7,7.13,191.6,0,0,2.67,0.89,6.24,16.04,0,15.15,39.21,3.56,121.2,10.69,85.54,0.89,82.87,0,35.64,238.8,25.84,0,0,0.89,82.87,2.67,8.02,94.46,0.66,1.7,0.89,42,27.16,0,34.96,35.56,100,0,0,14.29,100,77.78,52.21,34.29,66.67,37.14,0,42.86,89.8,57.14,80,71.64,100,87.74,0,72.73,80,70.73,100,0,33.33,55.56,87.74,0,12.5,0,50,21,0,29,49,0,1,1,7,5,9,183,81,22,0,0,0,15,226,79,45,16,134,8,1,0,4,4,13,4,3,5,0,1,2,52,1,106,0,4,55,25,10,133,1,1,5,63,118,24,10,70,26,0,25,1,63,335,41,0,22.12,6,0,8,215,94,0,0,3,1,7,18,0,17,44,4,136,12,96,1,93,0,40,268,29,0,0,1,93,3,9,106,0.74,1.91,1
Argeș,"Dinamo Bucureşti - Argeș, 0-1",2026-03-01 17:00:00,3,Away,23334,719,191642,4435361,5715906,0.91,40.91,0,36.36,60,97.27,80.91,0,2.73,12.73,2.73,4.55,142.7,60,10,0,0,0,35.12,17.27,188.2,66.36,33.64,17.27,109.1,10,1.82,0,2.73,2.73,3.64,10.91,7.27,3.64,0,0.91,0,41.82,0.91,66.36,0,9.09,21.54,47.27,26.36,10,7.27,38.18,86.36,18.18,4.55,60.91,26.36,0,24.55,2.73,33.64,19.03,271.8,35.45,0,40.4,13.64,171.8,0,1.82,4.55,0.91,6.36,10,0,9.09,55.45,0.91,100,10,70,0.91,54.55,0,27.27,209.1,15.45,0,0,0,54.55,0,8.18,66.36,0.57,1.3,2.73,48.89,16.67,0,35.27,51.35,100,0,0,14.29,0,63.64,45.89,29.85,26.32,43.28,0,57.14,92.42,7.14,57.89,64.17,100,82.19,0,57.69,76.92,43.59,80,0,0,66.67,82.19,100,27.27,1,45,22,0,40,66,1,0,3,14,3,5,157,66,11,0,0,0,19,207,73,37,19,120,11,2,0,3,3,4,12,8,4,0,1,0,46,1,73,0,10,52,29,11,107,1,1,8,42,95,20,5,67,29,0,27,3,37,299,39,0,16.87,9,0,15,189,89,0,2,5,1,7,11,0,10,61,1,110,11,77,1,60,0,30,230,17,0,0,0,60,0,9,73,0.63,1.43,3
Csikszereda Miercurea Ciuc,"Oţelul - Csikszereda Miercurea Ciuc, 3-0",2026-01-26 16:00:00,0,Away,22731,719,191642,4435361,5715857,0,30.97,0,32.9,42.58,107.4,73.55,2.9,2.9,5.81,3.87,8.71,118.1,47.42,8.71,0,0,0,24.04,17.42,166.4,63.87,25.16,8.71,110.3,15.48,2.9,1.94,2.9,1.94,3.87,11.61,7.74,2.9,0,0,0,39.68,0.97,71.61,0.97,8.71,23.44,47.42,36.77,10.65,0.97,23.23,70.65,25.16,10.65,51.29,32.9,0,22.26,1.94,53.23,18.98,261.3,33.87,0,30,11.61,157.7,0,2.9,4.84,0.97,9.68,19.35,0,14.52,38.71,2.9,74.52,11.61,63.87,0.97,61.94,0,21.29,192.6,21.29,0,0,0,61.94,2.9,8.71,71.61,0.34,3.21,3.87,37.5,18.37,0,38.37,34.62,66.67,0,0,0,0,48.98,42.44,49.06,61.11,64.15,0,10,90.91,50,66.67,57.89,100,86.49,0,44.9,73.7,62.86,20,0,0,22.22,86.49,0,25,0,32,12,0,34,44,0,3,3,6,4,9,122,49,9,0,0,0,18,172,66,26,9,114,16,3,2,3,2,4,12,8,3,0,0,0,41,1,74,1,9,49,38,11,111,1,1,1,24,73,26,11,53,34,0,23,2,55,270,35,0,16.41,4,0,12,163,76,0,3,5,1,10,20,0,15,40,3,77,12,66,1,64,0,22,199,22,0,0,0,64,3,9,74,0.35,3.32,4
Oţelul,"Oţelul - Dinamo Bucureşti, 2-1",2025-07-27 20:30:00,3,Home,11571,719,191642,4435361,5715701,3.36,30.28,0.84,26.92,37.01,101.8,66.45,0.84,6.73,9.25,3.36,5.89,106,51.31,13.46,0,0,0,13.58,8.41,140.5,49.63,29.44,10.93,92.52,10.09,0,0,0.84,0,2.52,7.57,5.89,4.21,0,1.68,2.52,24.39,1.68,68.13,5.05,7.57,32.78,41.21,23.55,10.09,7.57,31.96,65.61,12.62,3.36,35.33,15.14,0.84,18.5,0,31.96,22.62,234.7,31.12,0,38.3,8.41,140.5,0,0,4.21,1.68,8.41,13.46,0.84,12.62,35.33,5.89,67.29,5.05,57.2,1.68,58.88,4.21,23.55,172.4,13.46,0,0,0,58.88,4.21,11.78,68.13,0.87,2.62,0.84,36.11,26.23,0,35.33,37.14,0,0,0,20,33.33,62.3,46.71,35.71,40,42.86,0,40,95.45,63.64,60,61.82,100,86.42,83.33,57.14,73.48,43.24,40,0,0,50,86.42,100,8.333,4,36,13,1,32,44,0,1,8,11,4,7,126,61,16,0,0,0,10,167,59,35,13,110,12,0,0,1,0,3,9,7,5,0,2,3,29,2,81,6,9,49,28,12,121,1,1,9,38,78,15,4,42,18,1,22,0,38,279,37,0,21.18,13,0,10,167,79,0,0,5,2,10,16,1,15,42,7,80,6,68,2,70,5,28,205,16,0,0,0,70,5,14,81,1.04,3.12,1
FCS Bucureşti,"FCS Bucureşti - Universitatea Craiova, 1-0",2025-10-05 19:30:00,3,Home,11565,719,191642,4435361,5715773,0,28.87,0,30.57,34.81,92.55,65.38,0,8.49,10.19,1.7,3.4,105.3,50.09,10.19,0,0,0,14.54,11.89,158.8,55.19,27.17,15.28,95.94,12.74,0,0,0.85,0.85,1.7,8.49,5.09,1.7,0,0.85,1.7,26.32,1.7,78.11,1.7,6.79,23.42,32.26,31.42,7.64,0.85,28.87,71.32,18.68,6.79,48.4,21.23,1.7,22.08,1.7,32.26,20.71,246.2,22.92,1.7,41.9,11.04,153.7,0,1.7,5.94,1.7,8.49,7.64,0,14.43,31.42,3.4,71.32,7.64,68.77,1.7,62.83,0.85,16.13,188.5,12.74,0.85,0,0,62.83,1.7,11.04,78.11,2.13,0.52,3.4,55.88,20.34,0,34.76,56.25,100,0,0,10,0,57.63,44.92,38.6,57.14,43.86,50,50,90.24,33.33,64.29,71.68,100,80.43,50,50,76.55,55.56,28.57,0,0,46.15,80.43,100,26.67,0,34,19,0,36,41,1,0,10,12,2,4,124,59,12,0,0,0,14,187,65,32,18,113,15,0,0,1,1,2,10,6,2,0,1,2,31,2,92,2,8,38,37,9,109,1,1,1,34,84,22,8,57,25,2,26,2,38,290,27,2,10.17,5,0,13,181,77,0,2,7,2,10,9,0,17,37,4,84,9,81,2,74,1,19,222,15,1,0,0,74,2,13,92,2.51,0.61,4
CFR Cluj,"Hermannstadt - CFR Cluj, 0-1",2026-02-16 16:00:00,3,Away,11611,719,191642,4435361,5715888,0,41.14,0.86,31.71,46.29,114,76.29,0,3.43,6.86,2.57,4.29,132.9,50.57,10.29,0.86,0,0,15.38,14.57,186,68.57,38.57,18.86,114,13.71,0.86,0,1.71,1.71,1.71,6,3.43,4.29,0,0.86,0.86,41.14,1.71,115.7,3.43,4.29,34.17,55.71,36.86,13.71,5.14,35.14,87.43,18,6.86,57.43,24,0,21.43,4.29,36,21.47,318.9,55.71,0.86,48.9,6,207.4,0,1.71,5.14,1.71,10.29,8.57,0,13.71,42.86,3.43,96.86,9.43,80.57,1.71,104.6,1.71,30,258,30,0,0,1.71,104.6,2.57,14.57,115.7,1.53,1.76,0.86,50,20.34,0,36.87,48.89,100,0,0,8.333,0,69.49,47,31.34,47.06,41.79,0,33.33,92.59,50,64.71,70.68,100,90.37,50,53.85,80.91,53.85,66.67,0,66.67,41.18,90.37,100,6.25,0,48,24,1,37,54,1,0,4,8,3,5,155,59,12,1,0,0,17,217,80,45,22,133,16,1,0,2,2,2,7,4,5,0,1,1,48,2,135,4,5,65,43,16,133,1,1,6,41,102,21,8,67,28,0,25,5,42,372,65,1,7.69,0,0,7,242,89,0,2,6,2,12,10,0,16,50,4,113,11,94,2,122,2,35,301,35,0,0,2,122,3,17,135,1.78,2.05,1
Csikszereda Miercurea Ciuc,"Oţelul - Csikszereda Miercurea Ciuc, 2-3",2026-03-14 17:15:00,3,Away,22731,719,191642,4437511,5822250,2.6,45.87,1.73,31.15,25.96,99.52,66.63,1.73,0.87,6.92,3.46,6.06,135.9,57.12,11.25,0,0,0,18.55,12.98,167.9,52.79,37.21,13.85,96.06,12.98,0.87,0,3.46,0.87,3.46,12.12,7.79,4.33,0,2.6,0,32.88,1.73,59.71,1.73,12.98,24.05,32.02,15.58,3.46,8.65,32.88,70.1,17.31,7.79,49.33,21.63,0.87,24.23,1.73,28.56,18.13,200.8,26.83,0,34,9.52,128.1,0,2.6,6.06,1.73,8.65,15.58,2.6,18.17,25.96,3.46,82.21,9.52,70.96,1.73,46.73,1.73,14.71,156.6,17.31,0,1.73,1.73,46.73,3.46,10.38,59.71,1.11,2.56,3.46,35.85,19.7,0,31.44,37.21,25,0,0,30,0,57.58,41.75,35.09,60,43.86,0,60,100,50,73.33,73.87,100,78.26,100,45.95,78.02,64.52,71.43,66.67,50,66.67,78.26,100,26.67,3,53,19,2,36,30,0,2,1,8,4,7,157,66,13,0,0,0,15,194,61,43,16,111,15,1,0,4,1,4,14,9,5,0,3,0,38,2,69,2,15,37,18,4,115,1,1,10,38,81,20,9,57,25,1,28,2,33,232,31,0,13.83,11,0,11,148,77,0,3,7,2,10,18,3,21,30,4,95,11,82,2,54,2,17,181,20,0,2,2,54,4,12,69,1.28,2.96,4
Farul Constanţa,"Botoşani - Farul Constanţa, 1-1",2025-07-14 18:00:00,1,Away,61242,719,191642,4435361,5715682,1.78,52.57,0.89,39.21,43.66,94.46,74.85,0.89,5.35,8.02,1.78,4.46,172.9,66.83,11.58,0,0,0,19.9,17.82,239.7,92.67,47.23,28.51,113.2,14.26,0.89,0.89,2.67,2.67,2.67,7.13,5.35,1.78,0,0.89,1.78,53.47,1.78,77.52,1.78,5.35,24.2,44.55,49.01,19.6,3.56,45.45,121.2,24.06,11.58,71.29,29.41,1.78,16.93,1.78,37.43,16.66,277.1,26.73,0,48.7,14.26,162.2,0.89,3.56,4.46,1.78,11.58,9.8,1.78,20.5,42.77,3.56,131,14.26,78.42,0.89,62.38,0.89,31.19,215.6,16.93,0,1.78,0,62.38,0.89,11.58,77.52,1.11,0.61,4.46,61.02,17.33,0,38.66,60.38,100,0,0,7.692,50,68,50.56,33.75,65,41.25,0,30.77,97.96,44.44,80,69.29,50,80.46,50,70,77.81,63.33,20,100,0,38.46,80.46,0,31.25,2,59,36,1,44,49,0,1,6,9,2,5,194,75,13,0,0,0,20,269,104,53,32,127,16,1,1,3,3,3,8,6,2,0,1,2,60,2,87,2,6,50,55,22,106,1,1,4,51,136,27,13,80,33,2,19,2,42,311,30,0,5.54,12,0,16,182,84,1,4,5,2,13,11,2,23,48,4,147,16,88,1,70,1,35,242,19,0,2,0,70,1,13,87,1.25,0.69,5
Argeș,"Universitatea Craiova - Argeș, 3-1",2025-07-18 20:30:00,0,Away,23334,719,191642,4435361,5715689,0.95,26.53,0.95,46.42,35.05,108,79.58,2.84,3.79,15.16,0.95,7.58,160.1,89.05,18,1.89,0,0,16.52,22.74,208.4,69.16,23.68,8.53,90.95,19.89,4.74,2.84,0,0,0,4.74,2.84,0,0,0.95,1.89,44.53,0,69.16,0,2.84,28.34,38.84,24.63,6.63,3.79,56.84,100.4,25.58,16.11,68.21,33.16,0,32.21,0.95,30.32,20.72,224.5,38.84,0,35.7,6.63,111.8,0,1.89,3.79,0,8.53,7.58,0,20.84,29.37,2.84,112.7,18,53.05,0,51.16,0,19.89,154.4,19.89,0,0,0,51.16,1.89,10.42,69.16,0.78,1.38,3.79,42.86,20.21,0,33.18,36,0,0,0,11.11,0,63.83,48.18,37.5,70.83,48.61,0,22.22,83.78,18.75,79.17,58.33,0,73.97,0,51.22,68.78,51.22,75,0,0,18.18,73.97,0,19.05,1,28,12,1,49,37,0,3,4,16,1,8,169,94,19,2,0,0,24,220,73,25,9,96,21,5,3,0,0,0,5,3,0,0,1,2,47,0,73,0,3,41,26,7,114,1,1,4,60,106,27,17,72,35,0,34,1,32,237,41,0,7.04,7,0,7,118,84,0,2,4,0,9,8,0,22,31,3,119,19,56,0,54,0,21,163,21,0,0,0,54,2,11,73,0.82,1.46,4
