playerId,area,competition_name,season_name,player_shortName,player_firstName,player_lastName,label,date,gameweek,isRomanian,player_birthDate,isU21,team_name,player_height,player_weight,player_foot,matchId,competitionId,seasonId,roundId,positions,total_matches,total_matchesInStart,total_matchesSubstituted,total_matchesComingOff,total_minutesOnField,total_minutesTagged,total_goals,total_assists,total_shots,total_headShots,total_yellowCards,total_redCards,total_directRedCards,total_penalties,total_linkupPlays,total_duels,total_duelsWon,total_defensiveDuels,total_defensiveDuelsWon,total_offensiveDuels,total_offensiveDuelsWon,total_aerialDuels,total_aerialDuelsWon,total_fouls,total_passes,total_successfulPasses,total_smartPasses,total_successfulSmartPasses,total_passesToFinalThird,total_successfulPassesToFinalThird,total_crosses,total_successfulCrosses,total_forwardPasses,total_successfulForwardPasses,total_backPasses,total_successfulBackPasses,total_throughPasses,total_successfulThroughPasses,total_keyPasses,total_successfulKeyPasses,total_verticalPasses,total_successfulVerticalPasses,total_longPasses,total_successfulLongPasses,total_dribbles,total_successfulDribbles,total_interceptions,total_defensiveActions,total_successfulDefensiveAction,total_attackingActions,total_successfulAttackingActions,total_freeKicks,total_freeKicksOnTarget,total_directFreeKicks,total_directFreeKicksOnTarget,total_corners,total_successfulPenalties,total_successfulLinkupPlays,total_accelerations,total_pressingDuels,total_pressingDuelsWon,total_looseBallDuels,total_looseBallDuelsWon,total_missedBalls,total_shotAssists,total_shotOnTargetAssists,total_recoveries,total_opponentHalfRecoveries,total_dangerousOpponentHalfRecoveries,total_losses,total_ownHalfLosses,total_dangerousOwnHalfLosses,total_xgShot,total_xgAssist,total_xgSave,total_receivedPass,total_touchInBox,total_progressiveRun,total_offsides,total_clearances,total_secondAssists,total_thirdAssists,total_shotsBlocked,total_foulsSuffered,total_progressivePasses,total_counterpressingRecoveries,total_slidingTackles,total_goalKicks,total_dribblesAgainst,total_dribblesAgainstWon,total_goalKicksShort,total_goalKicksLong,total_shotsOnTarget,total_successfulProgressivePasses,total_successfulSlidingTackles,total_successfulGoalKicks,total_fieldAerialDuels,total_fieldAerialDuelsWon,total_gkCleanSheets,total_gkConcededGoals,total_gkShotsAgainst,total_gkExits,total_gkSuccessfulExits,total_gkAerialDuels,total_gkAerialDuelsWon,total_gkSaves,total_newDuelsWon,total_newDefensiveDuelsWon,total_newOffensiveDuelsWon,total_newSuccessfulDribbles,total_lateralPasses,total_successfulLateralPasses,average_passLength,average_longPassLength,average_dribbleDistanceFromOpponentGoal,average_ballRecoveries,average_duels,average_defensiveDuels,average_offensiveDuels,average_aerialDuels,average_fouls,average_goals,average_assists,average_passes,average_smartPasses,average_passesToFinalThird,average_crosses,average_dribbles,average_shots,average_headShots,average_interceptions,average_successfulDefensiveAction,average_yellowCards,average_redCards,average_directRedCards,average_successfulAttackingActions,average_freeKicks,average_directFreeKicks,average_corners,average_penalties,average_accelerations,average_looseBallDuels,average_missedBalls,average_forwardPasses,average_backPasses,average_throughPasses,average_keyPasses,average_verticalPasses,average_longPasses,average_shotAssists,average_shotOnTargetAssists,average_linkupPlays,average_opponentHalfRecoveries,average_dangerousOpponentHalfRecoveries,average_ballLosses,average_losses,average_ownHalfLosses,average_dangerousOwnHalfLosses,average_duelsWon,average_defensiveDuelsWon,average_offensiveDuelsWon,average_successfulPasses,average_successfulSmartPasses,average_successfulCrosses,average_successfulForwardPasses,average_successfulBackPasses,average_successfulThroughPasses,average_successfulKeyPasses,average_successfulVerticalPasses,average_successfulLongPasses,average_successfulDribbles,average_defensiveActions,average_attackingActions,average_freeKicksOnTarget,average_directFreeKicksOnTarget,average_successfulPenalties,average_successfulLinkupPlays,average_looseBallDuelsWon,average_successfulPassesToFinalThird,average_xgShot,average_xgAssist,average_xgSave,average_receivedPass,average_touchInBox,average_progressiveRun,average_offsides,average_clearances,average_secondAssists,average_thirdAssists,average_foulsSuffered,average_progressivePasses,average_counterpressingRecoveries,average_slidingTackles,average_goalKicks,average_shotsBlocked,average_shotsOnTarget,average_successfulProgressivePasses,average_successfulSlidingTackles,average_successfulGoalKicks,average_dribblesAgainst,average_dribblesAgainstWon,average_goalKicksShort,average_goalKicksLong,average_fieldAerialDuels,average_fieldAerialDuelsWon,average_gkConcededGoals,average_gkShotsAgainst,average_gkExits,average_gkAerialDuels,average_gkSaves,average_gkSuccessfulExits,average_gkAerialDuelsWon,average_newDuelsWon,average_newDefensiveDuelsWon,average_newOffensiveDuelsWon,average_newSuccessfulDribbles,average_lateralPasses,average_successfulLateralPasses,percent_duelsWon,percent_defensiveDuelsWon,percent_offensiveDuelsWon,percent_aerialDuelsWon,percent_successfulPasses,percent_successfulSmartPasses,percent_successfulPassesToFinalThird,percent_successfulCrosses,percent_successfulDribbles,percent_shotsOnTarget,percent_headShotsOnTarget,percent_goalConversion,percent_directFreeKicksOnTarget,percent_penaltiesConversion,percent_win,percent_successfulForwardPasses,percent_successfulBackPasses,percent_successfulThroughPasses,percent_successfulKeyPasses,percent_successfulVerticalPasses,percent_successfulLongPasses,percent_successfulShotAssists,percent_successfulLinkupPlays,percent_yellowCardsPerFoul,percent_successfulProgressivePasses,percent_successfulSlidingTackles,percent_successfulGoalKicks,percent_dribblesAgainstWon,percent_fieldAerialDuelsWon,percent_gkSaves,percent_gkSuccessfulExits,percent_gkAerialDuelsWon,percent_newDuelsWon,percent_newDefensiveDuelsWon,percent_newOffensiveDuelsWon,percent_newSuccessfulDribbles,percent_successfulLateralPasses,dateutc,status,home_team,away_team,score,home_team_goals,away_team_goals,team_wyId,player_birthArea_name,player_passportArea_name
805103,Romania,Liga2,2025_2026,A. Chioveanu,Alexandru Eduard,Chioveanu,"CS Dinamo București - Voluntari, 0-0",2025-09-20 10:00:00,7,true,2005-01-23,true,Voluntari,0,0,None,5732942,720,191744,4435528,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,1,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.12,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,3,17.3,0,0,3.91,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0.24,1.96,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,3.91,0,0,3.91,0,0,0,0,3.91,0,0,3.91,0,0,0,0,0,0,5.87,5.87,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,100,2025-09-20 08:00:00,Played,CS Dinamo București,Voluntari,0-0,0,0,11757,Romania,Romania
825400,Romania,Liga2,2025_2026,A. Maxim,Alexandru,Maxim,"CS Dinamo București - Voluntari, 0-0",2025-09-20 10:00:00,7,true,2007-01-23,true,Voluntari,202,86,right,5732942,720,191744,4435528,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,0,0,1,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0.05,6,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,5,34.37,38.76,0,1.84,0,0,0,0,0,0,0,14.69,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,9.18,3.67,0,0,0,0,0,0,3.67,1.84,0,0,0,0,9.18,0,0,0,0,0,0,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0.1,11.02,0,0,0,0,0,0,0,5.51,0,0,7.35,0,0,0,0,7.35,0,0,7.35,0,0,0,0,1.84,1.84,0,1.84,0,0,0,0,0,0,9.18,9.18,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,100,2025-09-20 08:00:00,Played,CS Dinamo București,Voluntari,0-0,0,0,11757,Romania,Romania
435745,Romania,Liga2,2025_2026,M. Contra,Mario Robert Mihai,Contra,"ACS Muscelul Campulung Elite - Chindia Târgovişte, 1-1",2025-09-13 10:00:00,6,true,1999-09-15,false,Chindia Târgovişte,186,78,right,5732929,720,191744,4435528,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,0,0,73,73,0,0,0,0,0,1,1,0,0,2,1,1,0,1,1,0,0,1,21,19,0,0,3,1,0,0,4,2,0,0,0,0,0,0,15,15,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0.09,10,0,0,0,0,0,0,0,1,1,1,0,3,1,0,1,2,0,1,0,1,0,0,0,0,2,2,0,0,0,2,1,0,1,0,15,15,27.58,47.28,0,8.63,2.47,1.23,1.23,0,1.23,0,0,25.89,0,3.7,0,0,0,0,0,0,0,1.23,1.23,0,0,0,0,0,0,0,0,4.93,0,0,0,18.49,4.93,0,0,0,0,0,0,4.93,0,0,1.23,0,1.23,23.42,0,0,2.47,0,0,0,18.49,3.7,0,1.23,0,0,0,0,0,0,1.23,0,0,0.11,12.33,0,0,0,0,0,0,1.23,1.23,1.23,0,3.7,0,0,1.23,0,1.23,1.23,0,1.23,2.47,0,0,0,2.47,2.47,0,2.47,0,0,1.23,0,1.23,0,18.49,18.49,50,0,100,0,90.48,0,33.33,0,0,0,0,0,0,0,0,50,0,0,0,100,75,0,0,0,100,0,33.33,0,0,100,0,0,50,0,100,0,100,2025-09-13 08:00:00,Played,ACS Muscelul Campulung Elite,Chindia Târgovişte,1-1,1,1,11627,Romania,Romania
1253870,Romania,Liga2,2025_2026,D. Moldovan,Denis,Moldovan,"CS Dinamo București - Metalul Buzău, 0-2",2025-11-08 10:00:00,13,false,None,false,CS Dinamo București,0,0,None,5733008,720,191744,4435528,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,0,0,77,77,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,22,17,0,0,1,0,0,0,15,12,0,0,0,0,0,0,6,4,14,11,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,1,0,0,1.41,15,0,0,0,2,0,0,0,0,12,1,0,6,0,0,2,4,0,10,0,6,0,0,0,2,5,2,0,1,1,3,1,0,0,0,6,4,39.41,48.06,0,3.51,1.17,0,0,1.17,1.17,0,0,25.71,0,1.17,0,0,0,0,1.17,1.17,0,1.17,1.17,0,0,0,0,0,0,0,0,17.53,0,0,0,7.01,16.36,0,0,0,0,0,0,5.84,3.51,1.17,1.17,0,0,19.87,0,0,14.03,0,0,0,4.68,12.86,0,1.17,0,0,0,0,0,0,0,0,0,1.65,17.53,0,0,0,2.34,0,0,0,14.03,1.17,0,7.01,0,0,11.69,0,7.01,0,0,2.34,4.68,0,0,2.34,5.84,2.34,1.17,3.51,0,1.17,1.17,0,0,0,7.01,4.68,100,0,0,100,77.27,0,0,0,0,0,0,0,0,0,0,80,0,0,0,66.67,78.57,0,0,0,83.33,0,100,0,0,60,0,100,100,0,0,0,66.67,2025-11-08 09:00:00,Played,CS Dinamo București,Metalul Buzău,0-2,0,2,78701,None,None
289634,Romania,Liga2,2025_2026,A. Barna,Alexandru Vasile,Barna,"Concordia Chiajna - Ceahlăul Piatra Neamţ, 8-0",2025-08-17 10:00:00,3,true,1993-07-06,false,Ceahlăul Piatra Neamţ,0,0,None,5732897,720,191744,4435528,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,0,0,92,92,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14,13,0,0,1,0,0,0,7,6,0,0,0,0,0,0,5,5,3,2,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,4.07,8,0,0,0,2,0,0,0,0,1,0,0,5,0,0,3,2,0,1,0,5,0,0,0,8,12,0,0,0,0,4,1,1,0,0,5,5,27.83,50.65,0,1.96,0.98,0.98,0,0,0,0,0,13.7,0,0.98,0,0,0,0,2.93,3.91,0,0,0,0,0,0,0,0,0,0,0,6.85,0,0,0,4.89,2.93,0,0,0,0,0,0,1.96,0.98,0,0,0,0,12.72,0,0,5.87,0,0,0,4.89,1.96,0,3.91,0,0,0,0,0,0,0,0,0,3.98,7.83,0,0,0,1.96,0,0,0,0.98,0,0,4.89,0,0,0.98,0,4.89,0,0,2.93,1.96,0,0,7.83,11.74,0,0,3.91,0,0,0.98,0.98,0,0,4.89,4.89,0,0,0,0,92.86,0,0,0,0,0,0,0,0,0,0,85.71,0,0,0,100,66.67,0,0,0,100,0,100,0,0,33.33,0,0,100,100,0,0,100,2025-08-17 08:00:00,Played,Concordia Chiajna,Ceahlăul Piatra Neamţ,8-0,8,0,11575,Romania,Romania
420954,Romania,Liga2,2025_2026,D. Kucher,Danylo,Kucher,"Concordia Chiajna - Ceahlăul Piatra Neamţ, 8-0",2025-08-17 10:00:00,3,false,1997-01-25,false,Concordia Chiajna,193,83,left,5732897,720,191744,4435528,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,0,0,92,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,15,0,0,1,1,0,0,8,7,0,0,0,0,0,0,8,8,6,5,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,1,0,0,0,1.29,8,0,0,0,0,0,0,0,0,5,0,0,9,0,0,2,7,0,4,0,8,0,0,1,0,3,0,0,0,0,3,0,0,0,0,8,8,34.52,47.08,0,4.89,0.98,0,0,0,0,0,0,15.65,0,0.98,0,0,0,0,3.91,3.91,0,0,0,0,0,0,0,0,0,0.98,0,7.83,0,0,0,7.83,5.87,0,0,0,0,0,0,0.98,0.98,0,0,0,0,14.67,0,0,6.85,0,0,0,7.83,4.89,0,3.91,0,0,0,0,0,0,0.98,0,0,1.26,7.83,0,0,0,0,0,0,0,4.89,0,0,8.8,0,0,3.91,0,7.83,0,0,1.96,6.85,0,0,0,2.93,0,0,2.93,0,0,0,0,0,0,7.83,7.83,0,0,0,0,93.75,0,100,0,0,0,0,0,0,0,100,87.5,0,0,0,100,83.33,0,0,0,80,0,88.89,0,0,100,0,0,0,0,0,0,100,2025-08-17 08:00:00,Played,Concordia Chiajna,Ceahlăul Piatra Neamţ,8-0,8,0,11666,Ukraine,Ukraine
1213929,Romania,Liga2,2025_2026,F. Antonescu,Florin Cristian,Antonescu,"Şcolar Reşiţa - ACS Muscelul Campulung Elite, 7-0",2025-08-16 10:00:00,3,true,2005-01-01,true,Şcolar Reşiţa,0,0,None,5732899,720,191744,4435528,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,0,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29,0,0,0,0,0,0,9,5,0,0,0,0,0,0,23,22,6,3,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,1,1,0,0,0.03,29,0,0,0,3,0,0,0,0,3,1,0,4,0,0,4,0,0,2,0,4,0,0,1,0,2,0,0,0,0,2,0,0,0,0,23,22,22.18,40.46,0,3.91,0,0,0,0,0,0,0,33.26,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0.98,0,0,8.8,0,0,0,22.5,5.87,0,0,0,0,0,0,2.93,0.98,0.98,0,0,0,28.37,0,0,4.89,0,0,0,21.52,2.93,0,1.96,0,0,0,0,0,0,0,0,0,0.03,28.37,0,0,0,2.93,0,0,0,2.93,0.98,0,3.91,0,0,1.96,0,3.91,0,0,3.91,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,22.5,21.52,0,0,0,0,85.29,0,0,0,0,0,0,0,0,0,100,55.56,0,0,0,95.65,50,0,0,0,66.67,0,100,0,0,100,0,0,0,0,0,0,95.65,2025-08-16 08:00:00,Played,Şcolar Reşiţa,ACS Muscelul Campulung Elite,7-0,7,0,11821,Romania,Romania
1047220,Romania,Liga2,2025_2026,V. Fratila,Valentin,Fratila,"Şcolar Reşiţa - ACS Muscelul Campulung Elite, 7-0",2025-08-16 10:00:00,3,true,2008-04-18,true,ACS Muscelul Campulung Elite,0,0,None,5732899,720,191744,4435528,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,0,0,92,92,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21,15,0,0,1,0,0,0,18,13,0,0,1,0,0,0,3,2,13,8,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,9,5,1,0,0,5.04,12,0,0,0,2,0,0,0,0,9,0,0,13,0,0,5,8,0,6,0,13,0,0,0,7,12,0,0,0,0,5,1,0,0,0,3,2,31.1,38.7,0,3.91,0.98,0,0,0,0,0,0,20.54,0,0.98,0,0,0,0,3.91,3.91,0,0,0,0,0,0,0,0,0,0.98,0,17.61,0,0.98,0,2.93,12.72,0,0,0,0,0,0,8.8,4.89,0.98,0.98,0,0,14.67,0,0,12.72,0,0,0,1.96,7.83,0,3.91,0,0,0,0,0,0.98,0,0,0,4.93,11.74,0,0,0,1.96,0,0,0,8.8,0,0,12.72,0,0,5.87,0,12.72,0,0,4.89,7.83,0,0,6.85,11.74,0,0,4.89,0,0,0.98,0,0,0,2.93,1.96,100,0,0,0,71.43,0,0,0,0,0,0,0,0,0,0,72.22,0,0,0,66.67,61.54,0,0,0,66.67,0,100,0,0,41.67,0,0,100,0,0,0,66.67,2025-08-16 08:00:00,Played,Şcolar Reşiţa,ACS Muscelul Campulung Elite,7-0,7,0,74177,Romania,Romania
844974,Romania,Liga2,2025_2026,R. Ciubotariu,Rareș,Ciubotariu,"Metalul Buzău - ACS Muscelul Campulung Elite, 4-0",2025-11-01 10:00:00,12,true,2006-06-26,true,ACS Muscelul Campulung Elite,0,0,None,5733001,720,191744,4435528,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,0,0,93,93,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,11,0,0,0,0,0,0,11,7,0,0,0,0,0,0,5,4,9,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,4,0,0,0,3.76,9,0,0,0,1,0,0,0,0,5,0,0,15,0,0,8,7,0,3,0,12,0,0,0,4,11,1,0,0,0,7,0,0,0,0,5,4,33.49,43.74,0,3.87,0.97,0,0.97,0,0,0,0,15.48,0,0,0,0,0,0,3.87,3.87,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,4.84,8.71,0,0,0,0,0,0,5.81,3.87,0,0,0,0,10.65,0,0,6.77,0,0,0,3.87,3.87,0,3.87,0,0,0,0,0,0,0,0,0,3.64,8.71,0,0,0,0.97,0,0,0,4.84,0,0,14.52,0,0,2.9,0,11.61,0,0,7.74,6.77,0,0,3.87,10.65,0.97,0,6.77,0,0,0,0,0,0,4.84,3.87,0,0,0,0,68.75,0,0,0,0,0,0,0,0,0,0,63.64,0,0,0,80,44.44,0,0,0,60,0,80,0,0,63.64,0,0,0,0,0,0,80,2025-11-01 09:00:00,Played,Metalul Buzău,ACS Muscelul Campulung Elite,4-0,4,0,74177,Romania,Romania
837571,Romania,Liga2,2025_2026,S. Micu,Sebastian,Micu,"Tunari - Concordia Chiajna, 1-1",2025-10-18 10:00:00,10,true,2001-05-19,false,Tunari,0,0,None,5732982,720,191744,4435528,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,0,0,93,93,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,10,10,0,0,2,2,0,0,6,6,0,0,0,0,0,0,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0.94,6,0,0,0,1,0,0,0,0,3,0,0,15,0,0,5,10,0,3,0,14,0,0,0,1,5,2,0,1,1,4,1,0,0,0,4,4,31.99,48.34,0,1.94,0.97,0,0,0.97,0,0,0,9.68,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,3.87,4.84,0,0,0,0,0,0,1.94,0.97,0.97,0.97,0,0,9.68,0,0,5.81,0,0,0,3.87,4.84,0,0,0,0,0,0,0,0,1.94,0,0,0.91,5.81,0,0,0,0.97,0,0,0,2.9,0,0,14.52,0,0,2.9,0,13.55,0,0,4.84,9.68,0,0,0.97,4.84,1.94,0.97,3.87,0,0.97,0.97,0,0,0,3.87,3.87,100,0,0,100,100,0,100,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,100,0,93.33,0,0,80,0,100,100,0,0,0,100,2025-10-18 08:00:00,Played,Tunari,Concordia Chiajna,1-1,1,1,11794,Romania,Romania
