playerId,area,competition_name,season_name,player_shortName,player_firstName,player_lastName,label,date,gameweek,isRomanian,player_birthDate,isU21,team_name,player_height,player_weight,player_foot,matchId,competitionId,seasonId,roundId,positions,total_matches,total_matchesInStart,total_matchesSubstituted,total_matchesComingOff,total_minutesOnField,total_minutesTagged,total_goals,total_assists,total_shots,total_headShots,total_yellowCards,total_redCards,total_directRedCards,total_penalties,total_linkupPlays,total_duels,total_duelsWon,total_defensiveDuels,total_defensiveDuelsWon,total_offensiveDuels,total_offensiveDuelsWon,total_aerialDuels,total_aerialDuelsWon,total_fouls,total_passes,total_successfulPasses,total_smartPasses,total_successfulSmartPasses,total_passesToFinalThird,total_successfulPassesToFinalThird,total_crosses,total_successfulCrosses,total_forwardPasses,total_successfulForwardPasses,total_backPasses,total_successfulBackPasses,total_throughPasses,total_successfulThroughPasses,total_keyPasses,total_successfulKeyPasses,total_verticalPasses,total_successfulVerticalPasses,total_longPasses,total_successfulLongPasses,total_dribbles,total_successfulDribbles,total_interceptions,total_defensiveActions,total_successfulDefensiveAction,total_attackingActions,total_successfulAttackingActions,total_freeKicks,total_freeKicksOnTarget,total_directFreeKicks,total_directFreeKicksOnTarget,total_corners,total_successfulPenalties,total_successfulLinkupPlays,total_accelerations,total_pressingDuels,total_pressingDuelsWon,total_looseBallDuels,total_looseBallDuelsWon,total_missedBalls,total_shotAssists,total_shotOnTargetAssists,total_recoveries,total_opponentHalfRecoveries,total_dangerousOpponentHalfRecoveries,total_losses,total_ownHalfLosses,total_dangerousOwnHalfLosses,total_xgShot,total_xgAssist,total_xgSave,total_receivedPass,total_touchInBox,total_progressiveRun,total_offsides,total_clearances,total_secondAssists,total_thirdAssists,total_shotsBlocked,total_foulsSuffered,total_progressivePasses,total_counterpressingRecoveries,total_slidingTackles,total_goalKicks,total_dribblesAgainst,total_dribblesAgainstWon,total_goalKicksShort,total_goalKicksLong,total_shotsOnTarget,total_successfulProgressivePasses,total_successfulSlidingTackles,total_successfulGoalKicks,total_fieldAerialDuels,total_fieldAerialDuelsWon,total_gkCleanSheets,total_gkConcededGoals,total_gkShotsAgainst,total_gkExits,total_gkSuccessfulExits,total_gkAerialDuels,total_gkAerialDuelsWon,total_gkSaves,total_newDuelsWon,total_newDefensiveDuelsWon,total_newOffensiveDuelsWon,total_newSuccessfulDribbles,total_lateralPasses,total_successfulLateralPasses,average_passLength,average_longPassLength,average_dribbleDistanceFromOpponentGoal,average_ballRecoveries,average_duels,average_defensiveDuels,average_offensiveDuels,average_aerialDuels,average_fouls,average_goals,average_assists,average_passes,average_smartPasses,average_passesToFinalThird,average_crosses,average_dribbles,average_shots,average_headShots,average_interceptions,average_successfulDefensiveAction,average_yellowCards,average_redCards,average_directRedCards,average_successfulAttackingActions,average_freeKicks,average_directFreeKicks,average_corners,average_penalties,average_accelerations,average_looseBallDuels,average_missedBalls,average_forwardPasses,average_backPasses,average_throughPasses,average_keyPasses,average_verticalPasses,average_longPasses,average_shotAssists,average_shotOnTargetAssists,average_linkupPlays,average_opponentHalfRecoveries,average_dangerousOpponentHalfRecoveries,average_ballLosses,average_losses,average_ownHalfLosses,average_dangerousOwnHalfLosses,average_duelsWon,average_defensiveDuelsWon,average_offensiveDuelsWon,average_successfulPasses,average_successfulSmartPasses,average_successfulCrosses,average_successfulForwardPasses,average_successfulBackPasses,average_successfulThroughPasses,average_successfulKeyPasses,average_successfulVerticalPasses,average_successfulLongPasses,average_successfulDribbles,average_defensiveActions,average_attackingActions,average_freeKicksOnTarget,average_directFreeKicksOnTarget,average_successfulPenalties,average_successfulLinkupPlays,average_looseBallDuelsWon,average_successfulPassesToFinalThird,average_xgShot,average_xgAssist,average_xgSave,average_receivedPass,average_touchInBox,average_progressiveRun,average_offsides,average_clearances,average_secondAssists,average_thirdAssists,average_foulsSuffered,average_progressivePasses,average_counterpressingRecoveries,average_slidingTackles,average_goalKicks,average_shotsBlocked,average_shotsOnTarget,average_successfulProgressivePasses,average_successfulSlidingTackles,average_successfulGoalKicks,average_dribblesAgainst,average_dribblesAgainstWon,average_goalKicksShort,average_goalKicksLong,average_fieldAerialDuels,average_fieldAerialDuelsWon,average_gkConcededGoals,average_gkShotsAgainst,average_gkExits,average_gkAerialDuels,average_gkSaves,average_gkSuccessfulExits,average_gkAerialDuelsWon,average_newDuelsWon,average_newDefensiveDuelsWon,average_newOffensiveDuelsWon,average_newSuccessfulDribbles,average_lateralPasses,average_successfulLateralPasses,percent_duelsWon,percent_defensiveDuelsWon,percent_offensiveDuelsWon,percent_aerialDuelsWon,percent_successfulPasses,percent_successfulSmartPasses,percent_successfulPassesToFinalThird,percent_successfulCrosses,percent_successfulDribbles,percent_shotsOnTarget,percent_headShotsOnTarget,percent_goalConversion,percent_directFreeKicksOnTarget,percent_penaltiesConversion,percent_win,percent_successfulForwardPasses,percent_successfulBackPasses,percent_successfulThroughPasses,percent_successfulKeyPasses,percent_successfulVerticalPasses,percent_successfulLongPasses,percent_successfulShotAssists,percent_successfulLinkupPlays,percent_yellowCardsPerFoul,percent_successfulProgressivePasses,percent_successfulSlidingTackles,percent_successfulGoalKicks,percent_dribblesAgainstWon,percent_fieldAerialDuelsWon,percent_gkSaves,percent_gkSuccessfulExits,percent_gkAerialDuelsWon,percent_newDuelsWon,percent_newDefensiveDuelsWon,percent_newOffensiveDuelsWon,percent_newSuccessfulDribbles,percent_successfulLateralPasses,dateutc,status,home_team,away_team,score,home_team_goals,away_team_goals,team_wyId,player_birthArea_name,player_passportArea_name
283961,Romania,Superliga,2025_2026,I. Popescu,Iustin Alin,Popescu,"Argeș - Oţelul, 2-0",2025-08-18 18:00:00,6,true,1993-09-01,false,Oţelul,188,80,right,5715724,719,191642,4435361,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,0,0,1,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,4,3,0,0,0,0,0,0,2,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1.63,4,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,1,0,1,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,27.79,43.68,0,3.91,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,3.91,3.91,0,0,0,0,0,0,3.91,1.96,0,0,0,0,9.78,0,0,5.87,0,0,0,3.91,1.96,0,1.96,0,0,0,0,0,0,0,0,0,3.19,7.83,0,0,0,0,0,0,0,3.91,0,0,5.87,0,0,1.96,0,3.91,0,0,3.91,1.96,0,0,3.91,3.91,0,0,0,0,0,0,0,0,0,3.91,3.91,0,0,0,0,83.33,0,0,0,0,0,0,0,0,0,0,75,0,0,0,100,50,0,0,0,50,0,66.67,0,0,0,0,0,0,0,0,0,100,2025-08-18 16:00:00,Played,Argeș,Oţelul,2-0,2,0,11571,Romania,Romania
136092,Romania,Superliga,2025_2026,D. Iliev,Dejan,Iliev,"FCS Bucureşti - UTA Arad, 4-0",2025-10-26 19:30:00,14,false,1995-02-25,false,UTA Arad,195,87,right,5715789,719,191642,4435361,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,0,0,49,49,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,10,8,0,0,1,0,0,0,9,7,0,0,0,0,0,0,1,1,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.38,11,0,0,0,2,0,0,0,0,7,0,0,1,1,0,0,1,0,5,0,0,0,0,0,2,5,0,0,0,0,3,0,0,0,0,1,1,42.83,55,0,0,1.84,1.84,0,0,1.84,0,0,18.37,0,1.84,0,0,0,0,0,0,0,1.84,1.84,0,0,0,0,0,0,0,0,16.53,0,0,0,1.84,12.86,0,0,0,0,0,0,1.84,0,0,0,0,0,14.69,0,0,12.86,0,0,0,1.84,9.18,0,1.84,0,0,0,0,0,0,0,0,0,2.53,20.2,0,0,0,3.67,0,0,0,12.86,0,0,1.84,0,0,9.18,0,0,1.84,0,0,1.84,0,0,3.67,9.18,0,0,5.51,0,0,0,0,0,0,1.84,1.84,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,77.78,0,0,0,100,71.43,0,0,0,71.43,0,0,0,0,60,0,0,0,0,0,0,100,2025-10-26 18:30:00,Played,FCS Bucureşti,UTA Arad,4-0,4,0,30817,Macedonia FYR,England
756116,Romania,Superliga,2025_2026,R. Balbarau,Raul Andrei,Balbarau,"Csikszereda Miercurea Ciuc - Petrolul 52, 1-1",2025-10-24 16:30:00,14,true,2001-04-07,false,Petrolul 52,189,67,right,5715785,719,191642,4435361,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,1,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0.78,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,5,5,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,26.79,35.13,0,3.67,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,3.67,3.67,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,1.84,1.84,0,0,0,0,0,1.84,1.84,1.84,1.84,0,0,0,3.67,0,0,1.84,0,0,0,1.84,1.84,0,3.67,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,1.84,0,18.37,0,0,0,0,18.37,0,0,9.18,9.18,0,0,1.84,1.84,0,0,0,0,0,0,0,0,0,1.84,1.84,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,2025-10-24 14:30:00,Played,Csikszereda Miercurea Ciuc,Petrolul 52,1-1,1,1,60390,Romania,Romania
482239,Romania,Superliga,2025_2026,C. Nedelcovici,Cristian Nicolae,Nedelcovici,"Csikszereda Miercurea Ciuc - Metaloglobus, 2-2",2025-09-22 17:00:00,10,true,1993-06-02,false,Metaloglobus,188,84,None,5715753,719,191642,4435361,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,0,0,1,49,49,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,10,8,0,0,1,0,0,0,7,6,0,0,0,0,0,0,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,1.64,6,0,0,0,0,0,0,0,0,4,1,0,8,0,0,2,6,0,4,0,7,0,0,0,1,3,1,0,1,1,2,1,0,0,0,3,2,36.05,44.3,0,3.67,1.84,0,0,1.84,0,0,0,18.37,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86,0,0,0,5.51,7.35,0,0,0,0,0,0,5.51,1.84,0,1.84,0,0,14.69,0,0,11.02,0,0,0,3.67,3.67,0,0,0,0,0,0,0,0,0,0,0,3.01,11.02,0,0,0,0,0,0,0,7.35,1.84,0,14.69,0,0,7.35,0,12.86,0,0,3.67,11.02,0,0,1.84,5.51,1.84,1.84,3.67,0,1.84,1.84,0,0,0,5.51,3.67,100,0,0,100,80,0,0,0,0,0,0,0,0,0,0,85.71,0,0,0,66.67,50,0,0,0,100,0,87.5,0,0,66.67,0,100,100,0,0,0,66.67,2025-09-22 15:00:00,Played,Csikszereda Miercurea Ciuc,Metaloglobus,2-2,2,2,11943,Romania,Romania
756116,Romania,Superliga,2025_2026,R. Balbarau,Raul Andrei,Balbarau,"Farul Constanţa - Petrolul 52, 2-1",2025-09-01 20:00:00,8,true,2001-04-07,false,Petrolul 52,189,67,right,5715739,719,191642,4435361,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,1,0,49,49,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,6,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.92,5,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,2,2,0,1,1,1,1,0,0,0,6,6,27.35,54.79,0,1.84,3.67,0,1.84,1.84,0,0,0,12.86,0,0,0,0,0,0,1.84,1.84,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,11.02,1.84,0,0,0,0,0,0,1.84,1.84,0,1.84,0,0,12.86,0,0,1.84,0,0,0,11.02,1.84,0,1.84,0,0,0,0,0,0,0,0,0,1.69,9.18,0,0,0,0,0,0,1.84,1.84,1.84,0,1.84,0,0,1.84,0,1.84,0,0,1.84,0,0,0,1.84,3.67,3.67,1.84,1.84,0,1.84,1.84,0,0,0,11.02,11.02,50,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,100,0,100,0,0,50,0,100,50,0,0,0,100,2025-09-01 18:00:00,Played,Farul Constanţa,Petrolul 52,2-1,2,1,60390,Romania,Romania
64958,Romania,Superliga,2025_2026,S. Krell,Stefan,Krell,"Csikszereda Miercurea Ciuc - Petrolul 52, 1-1",2025-10-24 16:30:00,14,false,1992-06-12,false,Petrolul 52,189,87,right,5715785,719,191642,4435361,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,0,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,4,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0.12,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,4,0,1,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,48.57,48.57,0,1.8,0,0,0,0,0,0,0,7.2,0,1.8,0,0,0,0,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,7.2,0,0,0,0,0,0,5.4,0,0,0,0,0,3.6,0,0,3.6,0,0,0,0,3.6,0,1.8,0,0,0,0,0,0,0,0,0,0.22,1.8,0,0,0,0,0,0,0,1.8,0,0,9,0,0,1.8,0,7.2,0,0,1.8,7.2,0,0,0,3.6,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,100,0,80,0,0,100,0,0,0,0,0,0,0,2025-10-24 14:30:00,Played,Csikszereda Miercurea Ciuc,Petrolul 52,1-1,1,1,60390,Austria,Austria
83964,Romania,Superliga,2025_2026,G. Gavrilaş,George Petrişor,Gavrilaş,"Csikszereda Miercurea Ciuc - Metaloglobus, 2-2",2025-09-22 17:00:00,10,true,1990-12-15,false,Metaloglobus,185,75,right,5715753,719,191642,4435361,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,1,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,1,1,0,0,7,4,0,0,0,0,0,0,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.73,11,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,2,0,1,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,6,5,31.18,46.43,0,1.8,0,0,0,0,0,0,0,23.4,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,10.8,7.2,0,0,0,0,0,0,1.8,1.8,0,0,0,0,16.2,0,0,7.2,0,0,0,9,1.8,0,0,0,0,0,0,0,0,1.8,0,0,1.32,19.8,0,0,0,0,0,0,0,7.2,0,0,5.4,0,0,1.8,0,5.4,0,0,1.8,3.6,0,0,1.8,3.6,0,0,1.8,0,0,0,0,0,0,10.8,9,0,0,0,0,69.23,0,100,0,0,0,0,0,0,0,0,57.14,0,0,0,83.33,25,0,0,0,25,0,100,0,0,50,0,0,0,0,0,0,83.33,2025-09-22 15:00:00,Played,Csikszereda Miercurea Ciuc,Metaloglobus,2-2,2,2,11943,Romania,Romania
636258,Romania,Superliga,2025_2026,A. Gorcea,Andrei,Gorcea,"FCS Bucureşti - UTA Arad, 4-0",2025-10-26 19:30:00,14,true,2001-08-02,false,UTA Arad,189,78,right,5715789,719,191642,4435361,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,0,0,1,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,6,5,0,0,0,0,0,0,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.65,6,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,3,0,4,0,0,0,2,6,0,0,0,0,4,0,0,0,0,3,3,40.13,46.4,0,1.73,0,0,0,0,0,0,0,15.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38,0,0,0,5.19,8.65,0,0,0,0,0,0,1.73,0,0,0,0,0,13.85,0,0,8.65,0,0,0,5.19,6.92,0,0,0,0,0,0,0,0,0,0,0,2.85,10.38,0,0,0,0,0,0,0,6.92,0,0,6.92,0,0,5.19,0,6.92,0,0,0,6.92,0,0,3.46,10.38,0,0,6.92,0,0,0,0,0,0,5.19,5.19,0,0,0,0,88.89,0,0,0,0,0,0,0,0,0,0,83.33,0,0,0,100,80,0,0,0,75,0,100,0,0,66.67,0,0,0,0,0,0,100,2025-10-26 18:30:00,Played,FCS Bucureşti,UTA Arad,4-0,4,0,30817,Romania,Romania
64958,Romania,Superliga,2025_2026,S. Krell,Stefan,Krell,"Farul Constanţa - Petrolul 52, 2-1",2025-09-01 20:00:00,8,false,1992-06-12,false,Petrolul 52,189,87,right,5715739,719,191642,4435361,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,0,0,1,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,2,2,0,0,9,9,0,0,0,0,0,0,2,2,7,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0.9,6,0,0,0,0,0,0,0,0,5,1,0,4,0,0,1,3,0,5,0,3,0,0,0,1,2,1,0,0,0,1,0,0,0,0,2,2,38.15,48.13,0,8.49,0,0,0,0,0,0,0,18.68,0,3.4,0,0,0,0,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,15.28,0,0,0,3.4,11.89,0,0,0,0,0,0,1.7,0,0,0,0,0,18.68,0,0,15.28,0,0,0,3.4,11.89,0,1.7,0,0,0,0,0,0,3.4,0,0,1.53,10.19,0,0,0,0,0,0,0,8.49,1.7,0,6.79,0,0,8.49,0,5.09,0,0,1.7,5.09,0,0,1.7,3.4,1.7,0,1.7,0,0,0,0,0,0,3.4,3.4,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,100,0,75,0,0,50,0,0,0,0,0,0,100,2025-09-01 18:00:00,Played,Farul Constanţa,Petrolul 52,2-1,2,1,60390,Austria,Austria
346541,Romania,Superliga,2025_2026,C. Dur-Bozoancă,Cosmin,Dur-Bozoancă,"Argeș - Oţelul, 2-0",2025-08-18 18:00:00,6,true,1998-02-15,false,Oţelul,182,84,left,5715724,719,191642,4435361,"[{'position': {'name': 'Goalkeeper', 'code': 'gk'}, 'percent': 100}]",1,1,1,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,4,18.98,0,0,6.67,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,1.67,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,6.67,0,0,5,1.67,0,0,0,6.67,0,0,6.67,0,0,0,0,0,0,6.67,6.67,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,100,2025-08-18 16:00:00,Played,Argeș,Oţelul,2-0,2,0,11571,Romania,Romania
