team_name,teamId,competitionId,seasonId,total_matches,total_goals,total_assists,total_shots,total_headShots,total_yellowCards,total_redCards,total_directRedCards,total_penalties,total_linkupPlays,total_cleanSheets,total_duels,total_duelsWon,total_defensiveDuels,total_defensiveDuelsWon,total_offensiveDuels,total_offensiveDuelsWon,total_aerialDuels,total_aerialDuelsWon,total_fouls,total_offsides,total_passes,total_successfulPasses,total_smartPasses,total_successfulSmartPasses,total_passesToFinalThird,total_successfulPassesToFinalThird,total_crosses,total_successfulCrosses,total_forwardPasses,total_successfulForwardPasses,total_backPasses,total_successfulBackPasses,total_throughPasses,total_successfulThroughPasses,total_keyPasses,total_successfulKeyPasses,total_verticalPasses,total_successfulVerticalPasses,total_longPasses,total_successfulLongPasses,total_dribbles,total_successfulDribbles,total_interceptions,total_defensiveActions,total_successfulDefensiveActions,total_attackingActions,total_successfulAttackingActions,total_freeKicks,total_freeKicksOnTarget,total_directFreeKicks,total_directFreeKicksOnTarget,total_corners,total_successfulPenalties,total_successfulLinkupPlays,total_accelerations,total_pressingDuels,total_pressingDuelsWon,total_looseBallDuels,total_looseBallDuelsWon,total_missedBalls,total_shotAssists,total_shotOnTargetAssists,total_recoveries,total_opponentHalfRecoveries,total_dangerousOpponentHalfRecoveries,total_losses,total_ownHalfLosses,total_dangerousOwnHalfLosses,total_fieldAerialDuels,total_fieldAerialDuelsWon,total_gkExits,total_gkSuccessfulExits,total_gkAerialDuels,total_gkAerialDuelsWon,total_gkSaves,total_xgShot,total_xgShotAgainst,total_ppda,total_receivedPass,total_touchInBox,total_progressiveRun,total_concededGoals,total_opponentOffsides,total_shotsAgainst,total_gkGoalKicks,total_gkGoalKicksSuccess,total_shortGoalKicks,total_longGoalKicks,total_matchesTagged,total_newDuelsWon,total_newDefensiveDuelsWon,total_newOffensiveDuelsWon,total_newSuccessfulDribbles,total_lateralPasses,total_successfulLateralPasses,average_possessionPercent,average_duels,average_defensiveDuels,average_offensiveDuels,average_aerialDuels,average_fouls,average_goals,average_assists,average_passes,average_smartPasses,average_passesToFinalThird,average_crosses,average_dribbles,average_shots,average_headShots,average_interceptions,average_successfulDefensiveAction,average_yellowCards,average_redCards,average_directRedCards,average_successfulAttackingActions,average_freeKicks,average_directFreeKicks,average_corners,average_penalties,average_passLength,average_longPassLength,average_dribbleDistanceFromOpponentGoal,average_accelerations,average_looseBallDuels,average_missedBalls,average_forwardPasses,average_backPasses,average_throughPasses,average_keyPasses,average_verticalPasses,average_longPasses,average_shotAssists,average_shotOnTargetAssists,average_linkupPlays,average_ballRecoveries,average_opponentHalfRecoveries,average_dangerousOpponentHalfRecoveries,average_ballLosses,average_ownHalfLosses,average_dangerousOwnHalfLosses,average_fieldAerialDuels,average_concededGoals,average_gkExits,average_gkAerialDuels,average_duelsWon,average_defensiveDuelsWon,average_offensiveDuelsWon,average_successfulPasses,average_successfulSmartPasses,average_successfulPassesToFinalThird,average_successfulCrosses,average_successfulForwardPasses,average_successfulBackPasses,average_successfulThroughPasses,average_successfulKeyPasses,average_successfulVerticalPasses,average_successfulLongPasses,average_successfulDribbles,average_defensiveActions,average_attackingActions,average_freeKicksOnTarget,average_directFreeKicksOnTarget,average_successfulPenalties,average_successfulLinkupPlays,average_looseBallDuelsWon,average_fieldAerialDuelsWon,average_gkSuccessfulExits,average_gkAerialDuelsWon,average_gkSaves,average_xgShot,average_xgShotAgainst,average_receivedPass,average_touchInBox,average_progressiveRun,average_offsides,average_opponentOffsides,average_shotsAgainst,average_gkGoalKicks,average_gkGoalKicksSuccess,average_shortGoalKicks,average_longGoalKicks,average_newDuelsWon,average_newDefensiveDuelsWon,average_newOffensiveDuelsWon,average_newSuccessfulDribbles,average_lateralPasses,average_successfulLateralPasses,percent_duelsWon,percent_defensiveDuelsWon,percent_offensiveDuelsWon,percent_aerialDuelsWon,percent_successfulPasses,percent_successfulSmartPasses,percent_successfulPassesToFinalThird,percent_successfulCrosses,percent_successfulDribbles,percent_shotsOnTarget,percent_headShotsOnTarget,percent_goalConversion,percent_yellowCardsPerFoul,percent_directFreeKicksOnTarget,percent_penaltiesConversion,percent_win,percent_successfulForwardPasses,percent_successfulBackPasses,percent_successfulThroughPasses,percent_successfulKeyPasses,percent_successfulVerticalPasses,percent_successfulLongPasses,percent_successfulShotAssists,percent_successfulLinkupPlays,percent_fieldAerialDuelsWon,percent_gkSaves,percent_gkSuccessfulExits,percent_gkAerialDuelsWon,percent_successfulTouchInBox,percent_newDuelsWon,percent_newDefensiveDuelsWon,percent_newOffensiveDuelsWon,percent_newSuccessfulDribbles,percent_successfulLateralPasses,roundId
Steaua Bucureşti,64938,720,191744,14,25,19,196,38,21,2,0,1,78,3,3039,1219,973,255,1030,493,601,273,165,30,6305,5068,4,2,822,518,292,100,2264,1579,805,750,29,12,50,50,2372,2071,784,416,303,222,479,2053,1423,795,347,44,22,3,0,93,0,60,14,60,0,435,198,72,137,50,1254,399,71,1738,527,81,531,254,12,0,2,0,53,21.81,17.69,9.9,4290,286,293,18,10,176,80,69,61,45,14,1539,671,397,167,2372,2071,55.3,201,64.34,68.11,39.74,10.91,1.65,1.26,416.9,0.26,54.36,19.31,20.04,12.96,2.51,31.68,94.1,1.39,0.13,0,22.95,2.91,0.2,6.15,0.07,19.34,28.54,17.99,0.93,28.77,4.76,149.7,53.23,1.92,3.31,156.9,51.84,9.06,3.31,5.16,82.92,26.39,4.7,114.9,34.85,5.36,35.11,1.19,0.79,0.13,80.61,16.86,32.6,335.1,0.13,34.25,6.61,104.4,49.6,0.79,3.31,136.9,27.51,14.68,135.8,52.57,1.45,0,0,3.97,13.09,16.8,0,0,3.5,1.44,1.17,283.7,18.91,19.38,1.98,0.66,11.64,5.29,4.56,4.03,2.98,101.8,44.37,26.25,11.04,156.9,136.9,40.11,26.21,47.86,45.42,80.38,50,63.02,34.25,73.27,39.8,55.26,12.76,12.73,0,0,57.1,69.74,93.17,41.38,100,87.31,53.06,56.93,76.92,47.83,0,0,0,50,50.64,68.96,38.54,55.12,87.31,None
CSM Satu Mare,71226,720,191744,14,11,6,134,15,30,0,0,0,39,2,3048,1099,1045,236,891,386,664,279,200,30,4848,3520,6,1,816,429,174,58,2101,1302,631,563,65,14,27,26,1429,1140,924,413,227,156,555,2264,1516,541,205,30,9,9,2,59,0,27,13,85,0,448,198,112,82,27,1252,346,56,1922,625,93,603,254,25,0,4,4,48,9.18,25.46,8.4,2847,152,116,33,41,193,120,109,93,57,14,1449,682,290,111,1429,1140,50.1,203.3,69.72,59.44,44.3,13.34,0.73,0.4,323.4,0.4,54.44,11.61,15.14,8.94,1,37.03,101.1,2,0,0,13.68,2,0.6,3.94,0,19.59,30.01,18.18,0.87,29.89,7.47,140.2,42.1,4.34,1.8,95.34,61.65,5.47,1.8,2.6,83.53,23.08,3.74,128.2,41.7,6.2,40.23,2.2,1.67,0.27,73.32,15.74,25.75,234.8,0.07,28.62,3.87,86.86,37.56,0.93,1.73,76.06,27.55,10.41,151.1,36.09,0.6,0.13,0,1.8,13.21,16.95,0,0.27,3.2,0.61,1.7,189.9,10.14,7.74,2,2.74,12.88,8.01,7.27,6.2,3.8,96.67,45.5,19.35,7.41,95.34,76.06,36.06,22.58,43.32,42.02,72.61,16.67,52.57,33.33,68.72,26.12,26.67,7.463,15,22.22,0,14.3,61.97,89.22,21.54,96.3,79.78,44.7,48.78,69.23,42.12,0,0,100,28.95,47.54,65.26,32.55,48.9,79.78,None
Concordia Chiajna,11666,720,191744,14,24,16,187,27,26,1,0,0,71,5,3083,1162,960,239,1046,450,679,322,168,24,5170,4035,18,6,797,514,258,78,1980,1352,693,647,67,27,44,43,1802,1535,867,499,307,221,557,2196,1497,770,307,29,13,11,3,76,0,42,15,91,0,398,151,65,117,44,1290,381,69,1742,495,75,605,287,26,0,8,5,44,18.13,16.53,9.38,3260,225,196,14,21,154,103,93,51,56,14,1434,618,343,161,1802,1535,53.1,205.5,64,69.73,45.27,11.2,1.6,1.07,344.7,1.2,53.13,17.2,20.47,12.47,1.8,37.13,99.8,1.73,0.07,0,20.47,1.93,0.73,5.07,0,20.16,28.64,18.45,1,26.53,4.33,132,46.2,4.47,2.93,120.1,57.8,7.8,2.93,4.73,86,25.4,4.6,116.1,33,5,40.33,0.93,1.73,0.53,77.47,15.93,30,269,0.4,34.27,5.2,90.13,43.13,1.8,2.87,102.3,33.27,14.73,146.4,51.33,0.87,0.2,0,2.8,10.07,19.13,0,0.33,2.93,1.21,1.1,217.3,15,13.07,1.6,1.4,10.27,6.87,6.2,3.4,3.73,95.6,41.2,22.87,10.73,120.1,102.3,37.69,24.9,43.02,47.42,78.05,33.33,64.49,30.23,71.99,33.16,33.33,12.3,15.48,27.27,0,50,68.28,93.36,40.3,97.73,85.18,57.55,54.7,59.15,47.44,0,0,62.5,39.11,46.51,64.38,32.79,52.44,85.18,None
CS Dinamo București,78701,720,191744,14,12,5,145,12,33,3,1,1,76,3,3274,1130,1165,262,1082,464,599,227,195,13,4936,3918,12,2,656,422,136,48,1940,1333,773,723,43,15,23,22,1544,1308,726,413,295,199,532,2296,1500,588,251,29,14,8,4,45,0,48,11,96,0,428,177,73,74,23,1162,289,41,1673,605,94,557,218,22,0,6,6,49,11.4,17.58,9.86,3146,140,148,19,18,205,140,124,97,63,14,1522,741,377,151,1544,1308,47.8,217.5,77.38,71.87,39.79,12.95,0.8,0.33,327.9,0.8,43.57,9.03,19.59,9.63,0.8,35.34,99.63,2.19,0.2,0.07,16.67,1.93,0.53,2.99,0.07,19.14,28.46,20.66,0.73,28.43,4.85,128.9,51.34,2.86,1.53,102.5,48.22,4.92,1.53,5.05,77.18,19.2,2.72,111.1,40.18,6.24,37,1.26,1.46,0.4,75.06,17.4,30.82,260.2,0.13,28.03,3.19,88.54,48.02,1,1.46,86.88,27.43,13.22,152.5,39.06,0.93,0.27,0,3.19,11.76,14.48,0,0.4,3.25,0.76,1.17,209,9.3,9.83,0.86,1.2,13.62,9.3,8.24,6.44,4.18,101.1,49.22,25.04,10.03,102.5,86.88,34.51,22.49,42.88,37.9,79.38,16.67,64.33,35.29,67.46,34.48,33.33,7.586,16.92,50,0,14.3,68.71,93.53,34.88,95.65,84.72,56.89,50,63.16,39.14,0,0,100,36.43,46.49,63.61,34.84,51.19,84.72,None
Voluntari,11757,720,191744,14,16,7,189,17,35,3,1,0,39,8,2929,1158,1008,245,999,497,491,225,159,16,5563,4430,3,2,799,519,258,86,2048,1434,794,730,40,12,28,28,1902,1637,736,388,287,204,584,2083,1465,737,295,52,22,15,6,69,0,26,32,70,0,431,191,40,97,28,1201,403,81,1665,525,73,440,200,12,0,4,3,36,14.8,13.88,9.72,3686,272,229,11,20,171,118,101,53,70,14,1466,656,394,151,1902,1637,51.3,193.3,66.51,65.92,32.4,10.49,1.06,0.46,367.1,0.2,52.72,17.02,18.94,12.47,1.12,38.53,96.66,2.31,0.2,0.07,19.46,3.43,0.99,4.55,0,20.02,29.26,17.71,2.11,28.44,2.64,135.1,52.39,2.64,1.85,125.5,48.56,6.4,1.85,2.57,79.24,26.59,5.34,109.9,34.64,4.82,29.03,0.73,0.79,0.26,76.41,16.17,32.79,292.3,0.13,34.24,5.67,94.62,48.17,0.79,1.85,108,25.6,13.46,137.4,48.63,1.45,0.4,0,1.72,12.6,13.2,0,0.2,2.38,0.98,0.92,243.2,17.95,15.11,1.06,1.32,11.28,7.79,6.66,3.5,4.62,96.73,43.28,26,9.96,125.5,108,39.54,24.31,49.75,45.82,79.63,66.67,64.96,33.33,71.08,29.63,23.53,8.466,22.01,40,0,42.9,70.02,91.94,30,100,86.07,52.72,43.3,66.67,45.45,0,0,75,37.5,50.05,65.08,39.44,52.61,86.07,None
Poli Iaşi,11886,720,191744,14,15,8,196,33,34,0,0,2,53,6,3296,1319,1130,300,1039,494,688,331,197,30,4826,3679,12,5,780,468,241,85,1965,1298,622,571,67,22,35,35,1655,1376,807,407,316,236,538,2356,1624,765,326,46,20,6,1,56,1,31,36,84,0,439,194,63,115,35,1237,350,60,1822,599,89,647,311,14,0,3,3,37,22.55,13.81,8.18,2925,201,216,14,23,154,125,109,66,62,14,1667,755,387,169,1655,1376,50,216.8,74.34,68.36,45.26,12.96,0.99,0.53,317.5,0.79,51.32,15.86,20.79,12.89,2.17,35.39,106.8,2.24,0,0,21.45,3.03,0.39,3.68,0.13,20.18,28.94,19.58,2.37,28.88,4.14,129.3,40.92,4.41,2.3,108.9,53.09,7.57,2.3,3.49,81.38,23.03,3.95,119.9,39.41,5.86,42.57,0.92,0.92,0.2,86.78,19.74,32.5,242,0.33,30.79,5.59,85.39,37.57,1.45,2.3,90.53,26.78,15.53,155,50.33,1.32,0.07,0.07,2.04,12.76,20.46,0,0.2,2.43,1.48,0.91,192.4,13.22,14.21,1.97,1.51,10.13,8.22,7.17,4.34,4.08,109.7,49.67,25.46,11.12,108.9,90.53,40.02,26.55,47.55,48.11,76.23,41.67,60,35.27,74.68,34.18,48.48,7.653,17.26,16.67,50,50,66.06,91.8,32.84,100,83.14,50.43,55.65,58.49,48.07,0,0,100,40.8,50.58,66.81,37.25,53.48,83.14,None
Bihor Oradea,11579,720,191744,14,25,13,179,23,28,0,0,2,37,4,3201,1216,1089,282,936,427,736,331,239,14,4811,3502,2,1,871,485,213,65,2113,1315,645,571,74,25,32,31,1329,1077,909,414,291,214,550,2375,1596,685,298,33,17,7,2,73,1,28,14,44,0,440,176,57,107,32,1286,376,55,1849,549,64,654,298,25,0,6,6,34,19.92,11.49,8.78,2757,204,132,15,20,134,122,92,13,115,14,1563,715,341,166,1329,1077,46.8,213.1,72.49,62.31,48.99,15.91,1.66,0.87,320.3,0.13,57.98,14.18,19.37,11.92,1.53,36.61,106.2,1.86,0,0,19.84,2.2,0.47,4.86,0.13,20.08,29.38,17.58,0.93,29.29,3.79,140.7,42.94,4.93,2.13,88.47,60.51,7.12,2.13,2.46,85.61,25.03,3.66,123.1,36.55,4.26,43.54,1,1.66,0.4,80.95,18.77,28.42,233.1,0.07,32.29,4.33,87.54,38.01,1.66,2.06,71.69,27.56,14.25,158.1,45.6,1.13,0.13,0.07,1.86,11.72,19.84,0,0.4,2.26,1.33,0.76,183.5,13.58,8.79,0.93,1.33,8.92,8.12,6.12,0.87,7.66,104,47.6,22.7,11.05,88.47,71.69,37.99,25.9,45.62,44.97,72.79,50,55.68,30.52,73.54,36.87,43.48,13.97,11.71,28.57,50,57.1,62.23,88.53,33.78,96.88,81.04,45.54,54.21,75.68,45.57,0,0,100,40.69,48.83,65.66,36.43,57.04,81.04,None
1599 Şelimbăr,68616,720,191744,14,21,10,162,17,26,0,0,1,52,2,2798,971,878,168,961,417,516,207,195,30,4979,3788,6,0,782,485,221,64,1964,1303,645,596,51,12,34,31,1707,1407,797,384,195,148,523,1917,1249,584,220,44,17,11,3,47,1,34,8,67,0,443,179,67,92,34,1157,303,51,1692,565,83,460,187,34,0,9,9,41,18.15,20.01,13.29,3073,199,149,22,28,181,139,112,51,93,14,1220,519,315,98,1707,1407,48,186.4,58.49,64.02,34.37,12.99,1.4,0.67,331.7,0.4,52.09,14.72,12.99,10.79,1.13,34.84,83.21,1.73,0,0,14.66,2.93,0.73,3.13,0.07,19.42,27.35,14.16,0.53,29.51,4.46,130.8,42.97,3.4,2.26,113.7,53.09,6.13,2.26,3.46,77.08,20.19,3.4,112.7,37.64,5.53,30.64,1.47,2.26,0.6,64.69,11.19,27.78,252.3,0,32.31,4.26,86.8,39.7,0.8,2.07,93.73,25.58,9.86,127.7,38.9,1.13,0.2,0.07,2.26,11.92,12.46,0,0.6,2.73,1.21,1.33,204.7,13.26,9.93,2,1.87,12.06,9.26,7.46,3.4,6.2,81.27,34.57,20.98,6.53,113.7,93.73,34.7,19.13,43.39,40.12,76.08,0,62.02,28.96,75.9,35.8,35.29,12.96,13.33,27.27,100,21.4,66.34,92.4,23.53,91.18,82.43,48.18,46.74,65.38,40.65,0,0,100,41.21,43.6,59.11,32.78,50.26,82.43,None
Afumaţi,11942,720,191744,14,21,9,179,28,24,0,0,3,53,4,3526,1266,1135,266,1317,517,668,307,158,23,5306,4005,9,2,832,478,216,68,2143,1382,741,680,25,6,33,32,1741,1449,901,449,319,214,621,2424,1686,723,304,36,20,6,1,66,2,26,16,76,0,406,176,61,106,33,1403,425,65,1978,610,92,584,280,19,0,6,6,47,18.23,17.99,9.69,3121,215,211,18,17,184,116,100,49,70,14,1648,758,407,168,1741,1449,50.6,235.1,75.67,87.8,44.53,10.53,1.4,0.6,353.7,0.6,55.47,14.4,21.27,11.93,1.87,41.4,112.4,1.6,0,0,20.27,2.4,0.4,4.4,0.2,20.13,29.43,22.48,1.07,27.07,4.07,142.9,49.4,1.67,2.2,116.1,60.07,7.07,2.2,3.53,93.53,28.33,4.33,131.9,40.67,6.13,38.93,1.2,1.27,0.4,84.4,17.73,34.47,267,0.13,31.87,4.53,92.13,45.33,0.4,2.13,96.6,29.93,14.27,161.6,48.2,1.33,0.07,0.13,1.73,11.73,18.67,0,0.4,3.13,1.22,1.2,208.1,14.33,14.07,1.53,1.13,12.27,7.73,6.67,3.27,4.67,109.9,50.53,27.13,11.2,116.1,96.6,35.9,23.44,39.26,45.96,75.48,22.22,57.45,31.48,67.08,36.87,32.14,11.73,15.19,16.67,66.67,42.9,64.49,91.77,24,96.97,83.23,49.83,51.89,49.06,47.95,0,0,100,42.79,46.74,66.78,30.9,52.66,83.23,None
Gloria Bistriţa,71139,720,191744,14,12,4,157,25,25,0,0,2,43,1,2983,1148,946,225,960,449,671,318,178,22,4663,3524,10,5,695,423,171,41,1881,1222,593,518,53,13,29,28,1579,1327,733,353,294,201,539,2156,1452,632,255,61,31,10,2,58,2,28,14,91,0,406,156,93,88,29,1187,347,53,1764,565,74,625,299,18,0,4,4,30,16.14,19.52,10.14,2864,175,132,24,43,158,141,121,54,89,14,1432,595,363,160,1579,1327,46.9,198.6,62.97,63.91,44.67,11.85,0.8,0.27,310.4,0.67,46.26,11.38,19.57,10.45,1.66,35.88,96.66,1.66,0,0,16.97,4.06,0.67,3.86,0.13,19.33,28.26,21.12,0.93,27.03,6.19,125.2,39.47,3.53,1.93,105.1,48.79,5.86,1.93,2.86,79.02,23.1,3.53,117.4,37.61,4.93,41.61,1.6,1.2,0.27,76.42,14.98,29.89,234.6,0.33,28.16,2.73,81.35,34.48,0.87,1.86,88.34,23.5,13.38,143.5,42.07,2.06,0.13,0.13,1.86,10.38,19.9,0,0.27,2,1.07,1.3,190.7,11.65,8.79,1.46,2.86,10.52,9.39,8.05,3.59,5.92,95.33,39.61,24.16,10.65,105.1,88.34,38.48,23.78,46.77,47.39,75.57,50,60.86,23.98,68.37,31.21,36,7.643,14.04,20,100,14.3,64.97,87.35,24.53,96.55,84.04,48.16,55.68,65.12,47.84,0,0,100,31.43,48.01,62.9,37.81,54.42,84.04,None
