team_name,teamId,competitionId,seasonId,total_matches,total_goals,total_assists,total_shots,total_headShots,total_yellowCards,total_redCards,total_directRedCards,total_penalties,total_linkupPlays,total_cleanSheets,total_duels,total_duelsWon,total_defensiveDuels,total_defensiveDuelsWon,total_offensiveDuels,total_offensiveDuelsWon,total_aerialDuels,total_aerialDuelsWon,total_fouls,total_offsides,total_passes,total_successfulPasses,total_smartPasses,total_successfulSmartPasses,total_passesToFinalThird,total_successfulPassesToFinalThird,total_crosses,total_successfulCrosses,total_forwardPasses,total_successfulForwardPasses,total_backPasses,total_successfulBackPasses,total_throughPasses,total_successfulThroughPasses,total_keyPasses,total_successfulKeyPasses,total_verticalPasses,total_successfulVerticalPasses,total_longPasses,total_successfulLongPasses,total_dribbles,total_successfulDribbles,total_interceptions,total_defensiveActions,total_successfulDefensiveActions,total_attackingActions,total_successfulAttackingActions,total_freeKicks,total_freeKicksOnTarget,total_directFreeKicks,total_directFreeKicksOnTarget,total_corners,total_successfulPenalties,total_successfulLinkupPlays,total_accelerations,total_pressingDuels,total_pressingDuelsWon,total_looseBallDuels,total_looseBallDuelsWon,total_missedBalls,total_shotAssists,total_shotOnTargetAssists,total_recoveries,total_opponentHalfRecoveries,total_dangerousOpponentHalfRecoveries,total_losses,total_ownHalfLosses,total_dangerousOwnHalfLosses,total_fieldAerialDuels,total_fieldAerialDuelsWon,total_gkExits,total_gkSuccessfulExits,total_gkAerialDuels,total_gkAerialDuelsWon,total_gkSaves,total_xgShot,total_xgShotAgainst,total_ppda,total_receivedPass,total_touchInBox,total_progressiveRun,total_concededGoals,total_opponentOffsides,total_shotsAgainst,total_gkGoalKicks,total_gkGoalKicksSuccess,total_shortGoalKicks,total_longGoalKicks,total_matchesTagged,total_newDuelsWon,total_newDefensiveDuelsWon,total_newOffensiveDuelsWon,total_newSuccessfulDribbles,total_lateralPasses,total_successfulLateralPasses,average_possessionPercent,average_duels,average_defensiveDuels,average_offensiveDuels,average_aerialDuels,average_fouls,average_goals,average_assists,average_passes,average_smartPasses,average_passesToFinalThird,average_crosses,average_dribbles,average_shots,average_headShots,average_interceptions,average_successfulDefensiveAction,average_yellowCards,average_redCards,average_directRedCards,average_successfulAttackingActions,average_freeKicks,average_directFreeKicks,average_corners,average_penalties,average_passLength,average_longPassLength,average_dribbleDistanceFromOpponentGoal,average_accelerations,average_looseBallDuels,average_missedBalls,average_forwardPasses,average_backPasses,average_throughPasses,average_keyPasses,average_verticalPasses,average_longPasses,average_shotAssists,average_shotOnTargetAssists,average_linkupPlays,average_ballRecoveries,average_opponentHalfRecoveries,average_dangerousOpponentHalfRecoveries,average_ballLosses,average_ownHalfLosses,average_dangerousOwnHalfLosses,average_fieldAerialDuels,average_concededGoals,average_gkExits,average_gkAerialDuels,average_duelsWon,average_defensiveDuelsWon,average_offensiveDuelsWon,average_successfulPasses,average_successfulSmartPasses,average_successfulPassesToFinalThird,average_successfulCrosses,average_successfulForwardPasses,average_successfulBackPasses,average_successfulThroughPasses,average_successfulKeyPasses,average_successfulVerticalPasses,average_successfulLongPasses,average_successfulDribbles,average_defensiveActions,average_attackingActions,average_freeKicksOnTarget,average_directFreeKicksOnTarget,average_successfulPenalties,average_successfulLinkupPlays,average_looseBallDuelsWon,average_fieldAerialDuelsWon,average_gkSuccessfulExits,average_gkAerialDuelsWon,average_gkSaves,average_xgShot,average_xgShotAgainst,average_receivedPass,average_touchInBox,average_progressiveRun,average_offsides,average_opponentOffsides,average_shotsAgainst,average_gkGoalKicks,average_gkGoalKicksSuccess,average_shortGoalKicks,average_longGoalKicks,average_newDuelsWon,average_newDefensiveDuelsWon,average_newOffensiveDuelsWon,average_newSuccessfulDribbles,average_lateralPasses,average_successfulLateralPasses,percent_duelsWon,percent_defensiveDuelsWon,percent_offensiveDuelsWon,percent_aerialDuelsWon,percent_successfulPasses,percent_successfulSmartPasses,percent_successfulPassesToFinalThird,percent_successfulCrosses,percent_successfulDribbles,percent_shotsOnTarget,percent_headShotsOnTarget,percent_goalConversion,percent_yellowCardsPerFoul,percent_directFreeKicksOnTarget,percent_penaltiesConversion,percent_win,percent_successfulForwardPasses,percent_successfulBackPasses,percent_successfulThroughPasses,percent_successfulKeyPasses,percent_successfulVerticalPasses,percent_successfulLongPasses,percent_successfulShotAssists,percent_successfulLinkupPlays,percent_fieldAerialDuelsWon,percent_gkSaves,percent_gkSuccessfulExits,percent_gkAerialDuelsWon,percent_successfulTouchInBox,percent_newDuelsWon,percent_newDefensiveDuelsWon,percent_newOffensiveDuelsWon,percent_newSuccessfulDribbles,percent_successfulLateralPasses,roundId
CFR Cluj,11611,719,191642,17,24,15,242,45,27,2,2,2,95,2,3189,1302,997,284,1088,515,619,278,182,32,7168,5831,6,3,958,603,257,93,2597,1841,1007,950,62,19,68,66,2382,2092,757,377,308,229,600,2216,1519,813,376,30,16,3,0,100,1,76,16,80,0,485,225,93,177,68,1454,478,92,1991,562,73,567,260,17,0,1,1,35,25.06,19.52,10.46,4954,328,229,28,21,192,112,95,39,93,17,1568,641,424,170,2382,2092,50.5,169.3,52.94,57.77,32.87,9.66,1.27,0.8,380.6,0.32,50.87,13.65,16.35,12.85,2.39,31.86,80.65,1.43,0.11,0.11,19.96,1.59,0.16,5.31,0.11,17.76,26.66,15.48,0.85,25.75,4.94,137.9,53.47,3.29,3.61,126.5,40.19,9.4,3.61,5.04,77.2,25.38,4.88,105.7,29.84,3.88,30.11,1.49,0.9,0.05,69.13,15.08,27.35,309.6,0.16,32.02,4.94,97.75,50.44,1.01,3.5,111.1,20.02,12.16,117.7,43.17,0.85,0,0.05,4.04,11.95,13.81,0,0.05,1.86,1.33,1.04,263,17.42,12.16,1.7,1.12,10.19,5.95,5.04,2.07,4.94,83.26,34.04,22.51,9.03,126.5,111.1,40.83,28.49,47.33,44.91,81.35,50,62.94,36.19,74.35,45.45,42.22,9.917,14.84,0,50,23.5,70.89,94.34,30.65,97.06,87.83,49.8,66.67,80,45.86,0,0,100,46.04,49.17,64.29,38.97,55.19,87.83,None
Argeș,23334,719,191642,17,21,15,180,26,41,2,1,2,30,7,3613,1379,1183,279,1057,474,850,414,235,24,4667,3445,5,1,806,443,213,63,1935,1206,655,595,44,9,45,44,1523,1268,899,451,284,188,649,2682,1829,682,266,53,21,9,1,87,2,21,22,159,0,523,212,89,105,45,1408,432,55,1897,551,66,770,371,39,0,10,10,33,19.36,17.54,10.07,2691,246,191,19,27,161,120,104,28,106,17,1770,766,378,146,1523,1268,42.8,194.4,63.64,56.86,45.73,12.64,1.13,0.81,251.1,0.27,43.36,11.46,15.28,9.68,1.4,34.91,98.39,2.21,0.11,0.05,14.31,2.85,0.48,4.68,0.11,20.37,28.26,15.29,1.18,28.14,4.79,104.1,35.24,2.37,2.42,81.93,48.36,5.65,2.42,1.61,75.74,23.24,2.96,102,29.64,3.55,41.42,1.02,2.1,0.54,74.18,15.01,25.5,185.3,0.05,23.83,3.39,64.88,32.01,0.48,2.37,68.21,24.26,10.11,144.3,36.69,1.13,0.05,0.11,1.13,11.4,19.96,0,0.54,1.78,1.04,0.94,144.8,13.23,10.27,1.29,1.45,8.66,6.46,5.59,1.51,5.7,95.22,41.21,20.33,7.85,81.93,68.21,38.17,23.58,44.84,48.71,73.82,20,54.96,29.58,66.2,31.11,30.77,11.11,17.45,11.11,100,47.1,62.33,90.84,20.45,97.78,83.26,50.17,52.38,70,48.18,0,0,100,38.62,48.99,64.75,35.76,51.41,83.26,None
Universitatea Craiova,26233,719,191642,17,29,15,233,33,38,3,1,3,145,5,3205,1281,1066,267,1177,577,535,246,194,30,8215,6924,21,12,905,649,260,77,2779,2091,1204,1114,63,23,59,56,3082,2790,752,435,355,266,633,2234,1547,869,370,33,16,7,1,88,3,108,37,107,0,427,191,101,150,59,1416,452,64,1891,625,87,477,223,25,0,8,8,44,26.74,22.22,8.96,6092,336,316,19,19,182,128,116,95,37,17,1556,668,451,199,3082,2790,58.1,171.2,56.94,62.87,28.58,10.36,1.55,0.8,438.8,1.12,48.34,13.89,18.96,12.45,1.76,33.81,82.63,2.03,0.16,0.05,19.76,1.76,0.37,4.7,0.16,18.55,28.61,18.78,1.98,22.81,5.39,148.4,64.31,3.36,3.15,164.6,40.17,8.01,3.15,7.74,75.63,24.14,3.42,101,33.38,4.65,25.48,1.01,1.34,0.43,68.42,14.26,30.82,369.8,0.64,34.66,4.11,111.7,59.5,1.23,2.99,149,23.23,14.21,119.3,46.42,0.85,0.05,0.16,5.77,10.2,11.91,0,0.43,2.35,1.43,1.19,325.4,17.95,16.88,1.6,1.01,9.72,6.84,6.2,5.07,1.98,83.11,35.68,24.09,10.63,164.6,149,39.97,25.05,49.02,45.98,84.28,57.14,71.71,29.62,74.93,35.19,33.33,11.59,19.59,14.29,100,52.9,75.24,92.52,36.51,94.92,90.53,57.85,50,74.48,46.75,0,0,100,39.88,48.55,62.66,38.32,56.06,90.53,None
UTA Arad,30817,719,191642,17,20,11,197,31,30,3,1,3,76,3,3562,1319,1159,265,1199,564,706,295,171,27,5827,4553,9,4,775,457,222,62,2300,1544,866,805,54,19,45,42,1816,1560,809,414,414,295,781,2646,1806,842,360,47,29,8,1,79,3,56,39,143,0,498,195,72,110,45,1441,440,69,2058,628,95,636,264,39,0,8,7,54,22.3,30.86,10.63,3754,251,264,27,24,242,145,119,60,95,17,1669,730,449,224,1816,1560,46,191.6,62.35,64.5,37.98,9.2,1.08,0.59,313.5,0.48,41.69,11.94,22.27,10.6,1.67,42.01,97.15,1.61,0.16,0.05,19.37,2.53,0.43,4.25,0.16,18.32,26.48,18.03,2.1,26.79,3.87,123.7,46.59,2.9,2.42,97.69,43.52,5.92,2.42,4.09,77.52,23.67,3.71,110.7,33.78,5.11,34.21,1.45,2.1,0.43,70.96,14.26,30.34,244.9,0.22,24.58,3.34,83.06,43.31,1.02,2.26,83.92,22.27,15.87,142.3,45.3,1.56,0.05,0.16,3.01,10.49,14.2,0,0.38,2.9,1.2,1.66,201.9,13.5,14.2,1.45,1.29,13.02,7.8,6.4,3.23,5.11,89.78,39.27,24.15,12.05,97.69,83.92,37.03,22.86,47.04,41.78,78.14,44.44,58.97,27.93,71.26,35.53,35.48,10.15,17.54,12.5,100,29.4,67.13,92.96,35.19,93.33,85.9,51.17,56.36,73.68,41.51,0,0,87.5,38.25,46.86,62.99,37.45,54.11,85.9,None
Universitatea Cluj,60374,719,191642,17,21,17,201,43,30,3,1,0,89,5,3265,1237,1093,260,1155,495,608,310,173,11,7757,6561,12,5,865,628,252,86,2611,1977,1186,1110,60,27,51,50,2692,2419,749,427,391,265,624,2325,1652,856,350,26,13,3,1,97,0,74,38,163,0,409,172,78,133,51,1340,404,60,1831,633,108,552,286,26,0,5,5,60,23.02,19.12,12.02,5684,326,283,19,29,228,142,121,75,85,17,1588,718,388,198,2692,2419,53.4,175,58.59,61.91,32.59,9.27,1.13,0.91,415.8,0.64,46.37,13.51,20.96,10.77,2.3,33.45,88.55,1.61,0.16,0.05,18.76,1.39,0.16,5.2,0,18.36,26.92,18.26,2.04,21.92,4.18,140,63.57,3.22,2.73,144.3,40.15,7.13,2.73,4.77,71.83,21.66,3.22,98.15,33.93,5.79,29.59,1.02,1.39,0.27,66.31,13.94,26.53,351.7,0.27,33.66,4.61,106,59.5,1.45,2.68,129.7,22.89,14.2,124.6,45.88,0.7,0.05,0,3.97,9.22,15.33,0,0.27,3.22,1.23,1.02,304.7,17.47,15.17,0.59,1.55,12.22,7.61,6.49,4.02,4.56,85.12,38.49,20.8,10.61,144.3,129.7,37.89,23.79,42.86,50.99,84.58,41.67,72.6,34.13,67.77,30.35,37.21,10.45,17.34,33.33,0,35.3,75.72,93.59,45,98.04,89.86,57.01,57.14,83.15,51.81,0,0,100,40.18,48.64,65.69,33.59,50.64,89.86,None
FCS Bucureşti,11565,719,191642,17,25,14,278,43,38,2,0,9,142,6,3123,1249,995,239,1123,548,583,281,205,37,8151,6832,22,12,995,684,291,108,2683,1988,1182,1108,71,31,64,62,3135,2813,778,453,335,258,551,2129,1440,926,394,41,24,8,2,117,8,104,35,88,0,422,181,80,188,64,1438,513,97,1902,575,79,537,259,26,0,9,8,38,31,21.09,9.29,5983,367,301,24,21,173,95,85,69,48,17,1495,608,425,173,3135,2813,58.9,165.1,52.61,59.38,30.83,10.84,1.32,0.74,431,1.16,52.61,15.39,17.71,14.7,2.27,29.14,76.15,2.01,0.11,0,20.83,2.17,0.42,6.19,0.48,19.11,28.83,19.51,1.85,22.31,4.23,141.9,62.5,3.75,3.38,165.8,41.14,9.94,3.38,7.51,76.04,27.13,5.13,100.6,30.41,4.18,28.4,1.27,1.37,0.48,66.05,12.64,28.98,361.3,0.63,36.17,5.71,105.1,58.59,1.64,3.28,148.8,23.95,13.64,112.6,48.97,1.27,0.11,0.42,5.5,9.57,13.7,0,0.42,2.01,1.64,1.12,316.4,19.41,15.92,1.96,1.11,9.15,5.02,4.49,3.65,2.54,79.05,32.15,22.47,9.15,165.8,148.8,39.99,24.02,48.8,48.2,83.82,54.55,68.74,37.11,77.01,36.33,44.19,8.993,18.54,25,88.89,29.4,74.1,93.74,43.66,96.88,89.73,58.23,52.13,73.24,48.23,0,0,88.89,41.96,47.87,61.11,37.85,51.64,89.73,None
Oţelul,11571,719,191642,17,25,13,217,41,29,2,1,4,108,6,3510,1347,1103,258,1067,497,740,328,229,25,6631,5343,16,6,868,565,282,120,2485,1756,993,923,77,23,49,47,2155,1887,923,497,303,211,652,2495,1665,818,352,50,29,8,2,86,3,77,28,109,0,600,264,116,135,49,1462,444,66,1995,653,93,685,315,17,0,3,2,56,28.58,22.52,8.49,4454,296,199,16,21,212,133,114,60,79,17,1661,685,384,156,2155,1887,52.7,187.7,58.98,57.06,39.57,12.25,1.34,0.7,354.6,0.86,46.42,15.08,16.2,11.6,2.19,34.87,89.04,1.55,0.11,0.05,18.82,2.67,0.43,4.6,0.21,19.68,29.84,19.06,1.5,32.09,6.2,132.9,53.1,4.12,2.62,115.2,49.36,7.22,2.62,5.78,78.18,23.74,3.53,106.7,34.92,4.97,36.63,0.86,0.91,0.16,72.03,13.8,26.58,285.7,0.32,30.21,6.42,93.9,49.36,1.23,2.51,100.9,26.58,11.28,133.4,43.74,1.55,0.11,0.16,4.12,14.12,16.84,0,0.11,2.99,1.53,1.2,238.2,15.83,10.64,1.34,1.12,11.34,7.11,6.1,3.21,4.22,88.82,36.63,20.53,8.34,115.2,100.9,38.38,23.39,46.58,44.32,80.58,37.5,65.09,42.55,69.64,32.26,36.59,11.52,12.66,25,75,35.3,70.66,92.95,29.87,95.92,87.56,53.85,51.11,71.3,45.99,0,0,66.67,35.47,47.32,62.1,35.99,51.49,87.56,None
Unirea Slobozia,11663,719,191642,17,18,7,184,15,32,1,1,2,69,5,3283,1205,1047,219,1054,498,664,290,196,25,5774,4459,16,4,820,494,212,64,2331,1528,822,775,57,21,34,34,1847,1576,942,477,294,217,647,2358,1576,706,288,46,20,6,2,61,2,46,34,84,0,518,198,69,108,34,1368,393,76,1941,650,109,609,261,31,0,10,9,65,16.23,24.33,14.62,3613,180,202,23,41,237,158,127,54,116,17,1531,639,404,157,1847,1576,44.4,175.7,56.02,56.4,35.53,10.49,0.96,0.37,308.9,0.86,43.88,11.34,15.73,9.85,0.8,34.62,84.33,1.71,0.05,0.05,15.41,2.46,0.32,3.26,0.11,19.43,29.95,16.42,1.82,27.72,3.69,124.7,43.98,3.05,1.82,98.83,50.4,5.78,1.82,3.69,73.2,21.03,4.07,103.9,34.78,5.83,32.59,1.23,1.66,0.54,64.48,11.72,26.65,238.6,0.21,26.43,3.42,81.76,41.47,1.12,1.82,84.33,25.52,11.61,126.2,37.78,1.07,0.11,0.11,2.46,10.59,13.97,0,0.48,3.48,0.87,1.3,193.3,9.63,10.81,1.34,2.19,12.68,8.45,6.8,2.89,6.21,81.92,34.19,21.62,8.4,98.83,84.33,36.7,20.92,47.25,43.67,77.23,25,60.24,30.19,73.81,34.24,33.33,9.783,16.33,33.33,100,29.4,65.55,94.28,36.84,100,85.33,50.64,57.41,66.67,42.86,0,0,90,45,46.63,61.03,38.33,53.4,85.33,None
Csikszereda Miercurea Ciuc,22731,719,191642,17,19,10,188,21,29,2,2,3,104,2,3240,1209,1127,232,1066,538,563,241,182,29,5600,4428,16,4,729,474,200,66,2119,1424,789,737,90,25,51,51,1967,1702,825,446,330,259,693,2383,1625,734,340,45,23,6,2,52,2,76,10,126,0,484,198,76,109,51,1257,313,49,1785,668,117,525,223,47,0,10,9,82,19.01,33.32,15.31,3649,206,208,34,25,259,115,103,73,96,17,1569,691,439,203,1967,1702,43.5,172.4,59.98,56.74,29.96,9.69,1.01,0.53,298.1,0.85,38.8,10.64,17.56,10.01,1.12,36.88,86.49,1.54,0.11,0.11,18.1,2.4,0.32,2.77,0.16,19.28,27.97,16.67,0.53,25.76,4.04,112.8,41.99,4.79,2.71,104.7,43.91,5.8,2.71,5.54,66.9,16.66,2.61,95,35.55,6.23,27.94,1.81,2.5,0.53,64.35,12.35,28.63,235.7,0.21,25.23,3.51,75.79,39.23,1.33,2.71,90.59,23.74,13.78,126.8,39.07,1.22,0.11,0.11,4.04,10.54,11.87,0,0.48,4.36,1.01,1.77,194.2,10.96,11.07,1.54,1.33,13.78,6.12,5.48,3.89,5.11,83.51,36.78,23.36,10.8,104.7,90.59,37.31,20.59,50.47,42.81,79.07,25,65.02,33,78.48,35.64,33.33,8.511,15.93,33.33,66.67,17.6,67.2,93.41,27.78,100,86.53,54.06,54.13,73.08,42.48,0,0,90,38.83,48.43,61.31,41.18,61.52,86.53,None
Hermannstadt,55427,719,191642,17,15,12,185,30,28,1,1,1,137,1,3344,1265,1054,267,1211,555,595,254,167,36,6482,5224,19,11,838,569,284,89,2470,1765,911,857,70,24,50,49,2060,1762,786,454,376,254,649,2298,1607,864,358,48,19,9,2,91,1,101,48,191,0,484,189,92,116,50,1429,442,64,1935,651,95,551,231,30,0,10,10,49,20.22,24.4,14.62,4325,287,282,27,14,206,114,101,73,58,17,1588,704,441,203,2060,1762,44.5,181.6,57.25,65.78,32.32,9.07,0.81,0.65,352.1,1.03,45.52,15.43,20.42,10.05,1.63,35.25,87.28,1.52,0.05,0.05,19.44,2.61,0.49,4.94,0.05,18.6,28.49,19.04,2.61,26.29,5,134.2,49.48,3.8,2.72,111.9,42.69,6.3,2.72,7.44,77.62,24.01,3.48,105.1,35.36,5.16,29.93,1.47,1.63,0.54,68.71,14.5,30.14,283.7,0.6,30.91,4.83,95.87,46.55,1.3,2.66,95.7,24.66,13.8,124.8,46.93,1.03,0.11,0.05,5.49,10.27,12.55,0,0.54,2.66,1.1,1.33,234.9,15.59,15.32,1.96,0.76,11.19,6.19,5.49,3.96,3.15,86.25,38.24,23.95,11.03,111.9,95.7,37.83,25.33,45.83,42.69,80.59,57.89,67.9,31.34,67.55,29.73,40,8.108,16.77,22.22,100,11.8,71.46,94.07,34.29,98,85.53,57.76,45.69,73.72,41.92,0,0,100,37.63,47.49,66.79,36.42,53.99,85.53,None
